video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000136000000.mp4,7,car,2,0.9,9.2
ch01_00000000136000000.mp4,23,motorcycle,1,2.7,11.6
ch01_00000000136000000.mp4,54,motorcycle,1,3.75,12.4
ch01_00000000136000000.mp4,11,car,2,4.5,9.5
ch01_00000000136000000.mp4,69,motorcycle,1,5.65,11.3
ch01_00000000136000000.mp4,90,motorcycle,1,7.0,10.0
ch01_00000000136000000.mp4,97,car,2,8.049,10.3
ch01_00000000136000000.mp4,110,motorcycle,1,9.299,9.7
ch01_00000000136000000.mp4,134,motorcycle,1,10.099,13.3
ch01_00000000136000000.mp4,147,motorcycle,1,10.999,11.6
ch01_00000000136000000.mp4,142,car,2,11.449,13.3
ch01_00000000136000000.mp4,152,motorcycle,1,11.749,12.9
ch01_00000000136000000.mp4,154,motorcycle,1,12.149,12.9
ch01_00000000136000000.mp4,168,motorcycle,1,12.999,12.9
ch01_00000000136000000.mp4,174,car,2,13.749,13.3
ch01_00000000136000000.mp4,167,car,2,13.899,12.9
ch01_00000000136000000.mp4,180,car,2,14.399,13.8
ch01_00000000136000000.mp4,157,motorcycle,1,14.449,7.5
ch01_00000000136000000.mp4,184,motorcycle,1,14.899,12.0
ch01_00000000136000000.mp4,188,motorcycle,1,15.449,12.0
ch01_00000000136000000.mp4,204,motorcycle,1,16.599,12.0
ch01_00000000136000000.mp4,197,car,2,16.899,11.3
ch01_00000000136000000.mp4,215,motorcycle,1,17.649,12.0
ch01_00000000136000000.mp4,222,motorcycle,1,18.749,12.0
ch01_00000000136000000.mp4,224,motorcycle,1,19.849,12.9
ch01_00000000136000000.mp4,233,motorcycle,1,20.299,12.4
ch01_00000000136000000.mp4,230,motorcycle,1,20.998,1.1
ch01_00000000136000000.mp4,238,motorcycle,1,21.398,12.9
ch01_00000000136000000.mp4,245,motorcycle,1,22.148,12.9
ch01_00000000136000000.mp4,252,motorcycle,1,23.448,11.3
ch01_00000000136000000.mp4,250,motorcycle,1,24.698,10.6
ch01_00000000136000000.mp4,42,car,2,26.698,12.4
ch01_00000000136000000.mp4,55,car,2,27.098,11.6
ch01_00000000136000000.mp4,70,motorcycle,1,27.698,12.4
ch01_00000000136000000.mp4,79,car,2,30.748,11.6
ch01_00000000136000000.mp4,122,motorcycle,1,31.548,20.0
ch01_00000000136000000.mp4,120,motorcycle,1,32.298,15.0
ch01_00000000136000000.mp4,162,motorcycle,1,33.547,3.6
ch01_00000000136000000.mp4,183,car,2,34.747,13.3
ch01_00000000136000000.mp4,125,motorcycle,1,35.047,7.1
ch01_00000000136000000.mp4,208,car,2,38.397,10.9
ch01_00000000136000000.mp4,253,car,2,40.297,8.4
ch01_00000000136000000.mp4,302,car,2,41.347,13.3
ch01_00000000136000000.mp4,300,car,2,42.797,12.0
ch01_00000000136000000.mp4,340,motorcycle,1,43.297,16.4
ch01_00000000136000000.mp4,357,motorcycle,1,44.497,15.7
ch01_00000000136000000.mp4,368,motorcycle,1,44.497,10.9
ch01_00000000136000000.mp4,376,motorcycle,1,46.846,7.5
ch01_00000000136000000.mp4,374,motorcycle,1,47.346,5.8
ch01_00000000136000000.mp4,35,motorcycle,1,49.546,8.4
ch01_00000000136000000.mp4,179,motorcycle,1,51.846,2.0
ch01_00000000136000000.mp4,278,motorcycle,1,53.846,2.0
ch01_00000000136000000.mp4,307,motorcycle,1,55.696,6.1
ch01_00000000136000000.mp4,349,motorcycle,1,56.796,2.4
ch01_00000000136000000.mp4,352,motorcycle,1,58.296,4.7
