video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000138000000.mp4,36033,motorcycle,1,801.436,7.7
ch01_00000000138000000.mp4,36441,motorcycle,1,805.435,14.4
ch01_00000000138000000.mp4,36634,motorcycle,1,808.685,13.8
ch01_00000000138000000.mp4,36650,car,3,810.285,10.6
ch01_00000000138000000.mp4,36776,motorcycle,1,811.535,10.6
ch01_00000000138000000.mp4,36831,car,2,812.685,12.0
ch01_00000000138000000.mp4,36910,car,3,813.784,10.6
ch01_00000000138000000.mp4,36988,car,2,815.284,9.5
ch01_00000000138000000.mp4,37150,motorcycle,1,818.034,7.1
ch01_00000000138000000.mp4,37250,motorcycle,1,819.834,5.4
ch01_00000000138000000.mp4,38384,car,3,845.182,4.7
ch01_00000000138000000.mp4,38682,motorcycle,1,849.682,6.4
ch01_00000000138000000.mp4,39709,motorcycle,1,863.88,10.9
ch01_00000000138000000.mp4,39728,car,2,863.981,1.9
ch01_00000000138000000.mp4,39724,motorcycle,1,864.38,9.5
ch01_00000000138000000.mp4,39676,motorcycle,1,864.53,10.9
ch01_00000000138000000.mp4,39423,motorcycle,1,865.38,11.6
ch01_00000000138000000.mp4,39824,motorcycle,1,865.93,15.7
ch01_00000000138000000.mp4,39856,motorcycle,1,866.58,10.3
ch01_00000000138000000.mp4,39907,motorcycle,1,867.38,12.9
ch01_00000000138000000.mp4,39807,car,2,868.18,9.5
ch01_00000000138000000.mp4,39997,motorcycle,1,868.98,12.4
ch01_00000000138000000.mp4,39981,motorcycle,1,869.53,9.2
ch01_00000000138000000.mp4,40043,motorcycle,1,869.88,13.3
ch01_00000000138000000.mp4,40125,motorcycle,1,871.23,14.4
ch01_00000000138000000.mp4,40047,car,2,871.68,8.8
ch01_00000000138000000.mp4,40248,car,2,873.28,3.5
ch01_00000000138000000.mp4,40247,motorcycle,1,873.43,14.4
ch01_00000000138000000.mp4,40279,motorcycle,1,874.13,11.6
ch01_00000000138000000.mp4,40233,car,3,875.18,6.4
ch01_00000000138000000.mp4,40161,car,2,875.48,3.3
ch01_00000000138000000.mp4,40397,motorcycle,1,876.33,7.1
ch01_00000000138000000.mp4,40320,car,2,877.029,5.9
ch01_00000000138000000.mp4,40583,motorcycle,1,879.079,4.9
ch01_00000000138000000.mp4,40607,motorcycle,1,879.829,10.3
ch01_00000000138000000.mp4,40539,car,3,880.429,6.4
ch01_00000000138000000.mp4,40603,car,2,881.079,9.7
