video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000139000000.mp4,6,motorcycle,1,3.45,9.5
ch01_00000000139000000.mp4,35,car,2,3.55,8.0
ch01_00000000139000000.mp4,20,motorcycle,1,4.4,18.0
ch01_00000000139000000.mp4,28,motorcycle,1,4.45,13.8
ch01_00000000139000000.mp4,5,car,2,4.7,6.7
ch01_00000000139000000.mp4,44,car,2,6.699,12.0
ch01_00000000139000000.mp4,91,motorcycle,1,8.699,30.0
ch01_00000000139000000.mp4,194,car,3,10.049,16.4
ch01_00000000139000000.mp4,99,motorcycle,1,10.199,16.4
ch01_00000000139000000.mp4,249,car,2,10.949,17.1
ch01_00000000139000000.mp4,372,car,2,12.149,20.0
ch01_00000000139000000.mp4,306,motorcycle,1,12.149,15.7
ch01_00000000139000000.mp4,438,car,2,13.699,18.0
ch01_00000000139000000.mp4,595,motorcycle,1,14.899,21.2
ch01_00000000139000000.mp4,674,motorcycle,1,15.149,18.0
ch01_00000000139000000.mp4,688,motorcycle,1,16.449,18.9
ch01_00000000139000000.mp4,790,motorcycle,1,16.899,18.9
ch01_00000000139000000.mp4,930,motorcycle,1,18.099,36.0
ch01_00000000139000000.mp4,871,motorcycle,1,18.198,12.0
ch01_00000000139000000.mp4,966,motorcycle,1,19.348,25.7
ch01_00000000139000000.mp4,1112,motorcycle,1,19.848,15.0
ch01_00000000139000000.mp4,977,car,2,20.648,21.2
ch01_00000000139000000.mp4,1434,motorcycle,1,22.698,22.5
ch01_00000000139000000.mp4,1491,motorcycle,1,23.498,22.5
ch01_00000000139000000.mp4,1542,motorcycle,1,23.948,40.0
ch01_00000000139000000.mp4,1621,motorcycle,1,24.848,32.7
ch01_00000000139000000.mp4,1668,motorcycle,1,25.248,27.7
ch01_00000000139000000.mp4,1695,motorcycle,1,25.248,40.0
ch01_00000000139000000.mp4,1488,motorcycle,1,25.648,6.7
ch01_00000000139000000.mp4,1783,motorcycle,1,26.098,40.0
ch01_00000000139000000.mp4,1874,motorcycle,1,26.948,36.0
ch01_00000000139000000.mp4,1317,car,3,27.248,7.5
ch01_00000000139000000.mp4,1988,car,2,30.348,15.0
ch01_00000000139000000.mp4,2132,motorcycle,1,31.297,18.9
ch01_00000000139000000.mp4,2304,motorcycle,1,32.047,36.0
ch01_00000000139000000.mp4,2266,motorcycle,1,32.897,18.9
ch01_00000000139000000.mp4,2185,truck,4,33.847,18.0
ch01_00000000139000000.mp4,2576,motorcycle,1,35.197,30.0
ch01_00000000139000000.mp4,2708,motorcycle,1,36.447,30.0
ch01_00000000139000000.mp4,2584,motorcycle,1,37.697,10.0
ch01_00000000139000000.mp4,2837,motorcycle,1,37.897,24.0
ch01_00000000139000000.mp4,2825,motorcycle,1,37.947,22.5
ch01_00000000139000000.mp4,2855,motorcycle,1,39.097,7.8
ch01_00000000139000000.mp4,2974,motorcycle,1,39.497,21.2
ch01_00000000139000000.mp4,3002,motorcycle,1,39.647,21.2
ch01_00000000139000000.mp4,3003,motorcycle,1,39.897,18.0
ch01_00000000139000000.mp4,3094,motorcycle,1,40.697,24.0
ch01_00000000139000000.mp4,3147,motorcycle,1,40.847,22.5
ch01_00000000139000000.mp4,3175,motorcycle,1,41.047,11.6
ch01_00000000139000000.mp4,3207,motorcycle,1,41.397,22.5
ch01_00000000139000000.mp4,3030,car,2,41.797,17.1
ch01_00000000139000000.mp4,3304,motorcycle,1,42.397,24.0
ch01_00000000139000000.mp4,3331,motorcycle,1,42.447,27.7
ch01_00000000139000000.mp4,3401,motorcycle,1,43.147,22.5
ch01_00000000139000000.mp4,3462,motorcycle,1,43.246,24.0
ch01_00000000139000000.mp4,3496,motorcycle,1,43.396,16.4
ch01_00000000139000000.mp4,3501,motorcycle,1,43.896,22.5
ch01_00000000139000000.mp4,3517,car,2,45.246,18.9
ch01_00000000139000000.mp4,3695,motorcycle,1,45.646,30.0
ch01_00000000139000000.mp4,3707,motorcycle,1,45.846,25.7
ch01_00000000139000000.mp4,3706,motorcycle,1,45.896,25.7
ch01_00000000139000000.mp4,3722,motorcycle,1,45.996,30.0
ch01_00000000139000000.mp4,3737,motorcycle,1,46.146,10.6
ch01_00000000139000000.mp4,3831,motorcycle,1,46.896,30.0
ch01_00000000139000000.mp4,3745,motorcycle,1,46.896,15.7
ch01_00000000139000000.mp4,3909,motorcycle,1,47.596,24.0
ch01_00000000139000000.mp4,3760,car,2,47.596,21.2
ch01_00000000139000000.mp4,3968,motorcycle,1,48.196,27.7
