video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000141000000.mp4,6,car,2,0.65,12.0
ch01_00000000141000000.mp4,78,motorcycle,1,1.65,11.6
ch01_00000000141000000.mp4,7,car,2,2.55,11.3
ch01_00000000141000000.mp4,125,car,3,3.15,13.8
ch01_00000000141000000.mp4,234,motorcycle,1,4.55,14.4
ch01_00000000141000000.mp4,282,motorcycle,1,5.1,14.4
ch01_00000000141000000.mp4,316,motorcycle,1,5.15,13.3
ch01_00000000141000000.mp4,347,motorcycle,1,5.85,10.9
ch01_00000000141000000.mp4,289,truck,6,7.05,12.9
ch01_00000000141000000.mp4,561,motorcycle,1,10.949,3.2
ch01_00000000141000000.mp4,632,car,2,11.049,15.0
ch01_00000000141000000.mp4,601,motorcycle,1,11.599,12.9
ch01_00000000141000000.mp4,697,motorcycle,1,13.149,3.3
ch01_00000000141000000.mp4,825,motorcycle,1,15.099,4.9
ch01_00000000141000000.mp4,710,car,2,16.249,7.5
ch01_00000000141000000.mp4,815,motorcycle,1,16.999,8.6
ch01_00000000141000000.mp4,882,car,2,18.649,8.2
ch01_00000000141000000.mp4,1040,car,2,20.499,9.7
ch01_00000000141000000.mp4,1172,car,2,22.699,9.7
ch01_00000000141000000.mp4,1207,motorcycle,1,22.799,18.0
ch01_00000000141000000.mp4,1326,motorcycle,1,23.749,7.5
ch01_00000000141000000.mp4,1308,motorcycle,1,24.399,12.9
ch01_00000000141000000.mp4,1317,car,3,24.649,13.3
ch01_00000000141000000.mp4,1342,truck,4,25.549,12.4
ch01_00000000141000000.mp4,1397,car,2,26.999,13.3
ch01_00000000141000000.mp4,1513,motorcycle,1,27.149,22.5
ch01_00000000141000000.mp4,1540,motorcycle,1,28.199,15.0
ch01_00000000141000000.mp4,1592,motorcycle,1,29.299,18.9
ch01_00000000141000000.mp4,1666,car,2,31.048,21.2
ch01_00000000141000000.mp4,1731,motorcycle,1,32.298,8.4
ch01_00000000141000000.mp4,1748,motorcycle,1,32.448,20.0
ch01_00000000141000000.mp4,1775,motorcycle,1,33.098,2.2
ch01_00000000141000000.mp4,1786,motorcycle,1,34.548,10.6
ch01_00000000141000000.mp4,1855,motorcycle,1,35.548,8.8
ch01_00000000141000000.mp4,1884,motorcycle,1,36.198,6.2
ch01_00000000141000000.mp4,2000,motorcycle,1,37.448,8.8
ch01_00000000141000000.mp4,2042,motorcycle,1,38.398,8.8
ch01_00000000141000000.mp4,2012,motorcycle,1,38.698,11.6
ch01_00000000141000000.mp4,2109,motorcycle,1,39.748,21.2
ch01_00000000141000000.mp4,2204,motorcycle,1,40.848,32.7
ch01_00000000141000000.mp4,2207,car,2,41.398,21.2
ch01_00000000141000000.mp4,2240,motorcycle,1,42.948,14.4
ch01_00000000141000000.mp4,2320,motorcycle,1,43.548,17.1
ch01_00000000141000000.mp4,2344,motorcycle,1,44.398,18.9
ch01_00000000141000000.mp4,2465,motorcycle,1,46.048,24.0
ch01_00000000141000000.mp4,2476,car,2,46.398,36.0
ch01_00000000141000000.mp4,2413,car,2,47.148,15.0
ch01_00000000141000000.mp4,2524,motorcycle,1,48.148,4.9
ch01_00000000141000000.mp4,2573,motorcycle,1,50.097,4.9
ch01_00000000141000000.mp4,2617,car,2,50.498,27.7
ch01_00000000141000000.mp4,2582,car,2,51.497,18.9
ch01_00000000141000000.mp4,2694,motorcycle,1,52.397,15.7
ch01_00000000141000000.mp4,2719,motorcycle,1,53.097,10.9
ch01_00000000141000000.mp4,2841,motorcycle,1,55.547,24.0
ch01_00000000141000000.mp4,2884,motorcycle,1,55.847,17.1
ch01_00000000141000000.mp4,2876,motorcycle,1,56.997,16.4
ch01_00000000141000000.mp4,3038,motorcycle,1,58.997,30.0
ch01_00000000141000000.mp4,3050,motorcycle,1,60.947,5.8
ch01_00000000141000000.mp4,3137,motorcycle,1,62.147,4.7
ch01_00000000141000000.mp4,3044,car,2,62.747,8.2
ch01_00000000141000000.mp4,3188,car,2,62.897,2.5
ch01_00000000141000000.mp4,3157,motorcycle,1,63.697,9.7
ch01_00000000141000000.mp4,3250,motorcycle,1,64.897,4.6
ch01_00000000141000000.mp4,3243,truck,4,65.897,8.4
ch01_00000000141000000.mp4,3309,motorcycle,1,66.947,9.2
ch01_00000000141000000.mp4,3223,car,2,67.397,4.9
ch01_00000000141000000.mp4,3453,motorcycle,1,67.547,25.7
ch01_00000000141000000.mp4,3372,motorcycle,1,68.247,9.0
ch01_00000000141000000.mp4,3508,motorcycle,1,69.347,5.5
ch01_00000000141000000.mp4,3572,motorcycle,1,69.647,13.8
ch01_00000000141000000.mp4,3570,motorcycle,1,70.097,5.5
ch01_00000000141000000.mp4,3595,motorcycle,1,70.346,8.0
ch01_00000000141000000.mp4,3614,motorcycle,1,71.146,6.1
ch01_00000000141000000.mp4,3743,motorcycle,1,72.596,4.7
ch01_00000000141000000.mp4,3771,motorcycle,1,73.446,4.4
ch01_00000000141000000.mp4,3878,motorcycle,1,74.096,18.9
ch01_00000000141000000.mp4,3830,motorcycle,1,74.346,12.4
ch01_00000000141000000.mp4,3848,motorcycle,1,74.896,9.7
ch01_00000000141000000.mp4,3994,motorcycle,1,76.246,18.9
ch01_00000000141000000.mp4,3982,motorcycle,1,76.446,16.4
ch01_00000000141000000.mp4,4043,motorcycle,1,77.146,18.0
ch01_00000000141000000.mp4,4052,motorcycle,1,77.346,21.2
ch01_00000000141000000.mp4,4100,motorcycle,1,78.396,21.2
ch01_00000000141000000.mp4,4126,motorcycle,1,78.796,20.0
ch01_00000000141000000.mp4,4152,motorcycle,1,79.346,20.0
ch01_00000000141000000.mp4,4196,motorcycle,1,80.396,27.7
ch01_00000000141000000.mp4,4225,motorcycle,1,81.046,24.0
ch01_00000000141000000.mp4,3975,car,2,81.046,2.9
ch01_00000000141000000.mp4,4096,car,2,81.746,7.7
ch01_00000000141000000.mp4,4197,motorcycle,1,82.396,14.4
ch01_00000000141000000.mp4,4352,motorcycle,1,83.646,13.3
ch01_00000000141000000.mp4,4405,motorcycle,1,84.246,13.8
ch01_00000000141000000.mp4,4288,motorcycle,1,84.296,9.7
ch01_00000000141000000.mp4,4374,motorcycle,1,85.046,9.7
ch01_00000000141000000.mp4,4494,motorcycle,1,85.546,7.5
ch01_00000000141000000.mp4,4515,motorcycle,1,85.996,11.6
ch01_00000000141000000.mp4,4592,motorcycle,1,87.346,16.4
ch01_00000000141000000.mp4,4593,motorcycle,1,87.346,12.4
ch01_00000000141000000.mp4,4627,motorcycle,1,87.396,8.4
ch01_00000000141000000.mp4,4644,motorcycle,1,88.496,15.7
ch01_00000000141000000.mp4,4694,motorcycle,1,89.195,25.7
ch01_00000000141000000.mp4,4743,motorcycle,1,90.345,18.0
ch01_00000000141000000.mp4,4753,motorcycle,1,90.595,18.9
ch01_00000000141000000.mp4,4767,motorcycle,1,90.845,18.0
ch01_00000000141000000.mp4,4791,motorcycle,1,91.395,21.2
ch01_00000000141000000.mp4,4800,motorcycle,1,91.945,8.8
ch01_00000000141000000.mp4,4759,car,2,92.945,10.9
ch01_00000000141000000.mp4,4904,motorcycle,1,93.745,21.2
ch01_00000000141000000.mp4,4862,car,2,95.195,6.2
ch01_00000000141000000.mp4,4994,motorcycle,1,95.395,27.7
ch01_00000000141000000.mp4,4901,car,2,95.945,12.4
ch01_00000000141000000.mp4,5038,motorcycle,1,96.495,21.2
ch01_00000000141000000.mp4,5070,motorcycle,1,97.195,20.0
ch01_00000000141000000.mp4,5093,motorcycle,1,97.295,4.7
ch01_00000000141000000.mp4,5115,motorcycle,1,98.095,22.5
ch01_00000000141000000.mp4,5104,motorcycle,1,98.195,10.3
ch01_00000000141000000.mp4,5021,car,2,98.645,11.3
ch01_00000000141000000.mp4,5202,car,2,99.945,20.0
ch01_00000000141000000.mp4,5297,motorcycle,1,101.445,27.7
ch01_00000000141000000.mp4,5163,car,2,101.645,12.0
ch01_00000000141000000.mp4,5328,motorcycle,1,102.045,27.7
ch01_00000000141000000.mp4,5352,motorcycle,1,102.595,20.0
ch01_00000000141000000.mp4,5369,motorcycle,1,102.595,25.7
ch01_00000000141000000.mp4,5424,motorcycle,1,103.245,25.7
ch01_00000000141000000.mp4,5451,motorcycle,1,103.695,27.7
ch01_00000000141000000.mp4,5420,car,2,103.795,18.9
ch01_00000000141000000.mp4,5453,motorcycle,1,103.945,24.0
ch01_00000000141000000.mp4,5487,motorcycle,1,104.495,25.7
ch01_00000000141000000.mp4,5541,motorcycle,1,105.595,25.7
ch01_00000000141000000.mp4,5555,motorcycle,1,105.795,18.9
ch01_00000000141000000.mp4,5587,motorcycle,1,106.695,18.9
ch01_00000000141000000.mp4,5639,motorcycle,1,107.545,21.2
ch01_00000000141000000.mp4,5599,car,2,108.144,15.0
ch01_00000000141000000.mp4,5724,motorcycle,1,109.044,36.0
ch01_00000000141000000.mp4,5748,motorcycle,1,109.794,24.0
ch01_00000000141000000.mp4,5755,motorcycle,1,109.994,21.2
ch01_00000000141000000.mp4,5796,motorcycle,1,110.744,24.0
ch01_00000000141000000.mp4,5817,motorcycle,1,111.094,18.9
ch01_00000000141000000.mp4,5818,motorcycle,1,111.194,22.5
ch01_00000000141000000.mp4,5860,motorcycle,1,111.844,22.5
ch01_00000000141000000.mp4,5864,motorcycle,1,112.094,18.0
ch01_00000000141000000.mp4,5866,motorcycle,1,112.244,20.0
ch01_00000000141000000.mp4,5903,motorcycle,1,112.744,24.0
ch01_00000000141000000.mp4,5938,motorcycle,1,113.444,24.0
ch01_00000000141000000.mp4,5967,motorcycle,1,114.444,21.2
ch01_00000000141000000.mp4,5999,car,2,115.194,21.2
ch01_00000000141000000.mp4,5923,motorcycle,1,115.294,5.5
ch01_00000000141000000.mp4,6019,motorcycle,1,115.894,27.7
ch01_00000000141000000.mp4,6061,motorcycle,1,116.344,17.1
ch01_00000000141000000.mp4,6102,motorcycle,1,117.044,16.4
ch01_00000000141000000.mp4,6123,motorcycle,1,117.294,18.9
ch01_00000000141000000.mp4,6110,motorcycle,1,117.794,18.0
ch01_00000000141000000.mp4,6184,motorcycle,1,118.094,24.0
ch01_00000000141000000.mp4,6192,motorcycle,1,118.244,18.9
ch01_00000000141000000.mp4,6213,motorcycle,1,118.994,18.9
ch01_00000000141000000.mp4,6226,motorcycle,1,119.444,6.7
ch01_00000000141000000.mp4,6273,motorcycle,1,119.944,20.0
ch01_00000000141000000.mp4,6296,motorcycle,1,119.994,24.0
ch01_00000000141000000.mp4,6317,motorcycle,1,120.894,20.0
ch01_00000000141000000.mp4,6223,motorcycle,1,120.994,21.2
ch01_00000000141000000.mp4,6328,motorcycle,1,121.244,22.5
ch01_00000000141000000.mp4,6373,motorcycle,1,121.644,17.1
ch01_00000000141000000.mp4,6360,motorcycle,1,122.144,8.0
ch01_00000000141000000.mp4,6424,motorcycle,1,122.394,25.7
ch01_00000000141000000.mp4,6357,motorcycle,1,122.944,11.3
ch01_00000000141000000.mp4,6444,motorcycle,1,123.244,10.0
ch01_00000000141000000.mp4,6359,motorcycle,1,123.294,10.6
ch01_00000000141000000.mp4,6434,motorcycle,1,123.894,11.6
ch01_00000000141000000.mp4,6513,motorcycle,1,123.994,22.5
ch01_00000000141000000.mp4,6544,motorcycle,1,124.644,18.9
ch01_00000000141000000.mp4,6574,motorcycle,1,125.044,18.0
ch01_00000000141000000.mp4,6502,car,2,125.194,10.9
ch01_00000000141000000.mp4,6617,motorcycle,1,125.844,18.0
ch01_00000000141000000.mp4,6654,motorcycle,1,126.494,17.1
ch01_00000000141000000.mp4,6609,motorcycle,1,127.044,8.0
ch01_00000000141000000.mp4,6740,motorcycle,1,127.594,21.2
ch01_00000000141000000.mp4,6732,car,2,128.043,12.9
ch01_00000000141000000.mp4,6849,car,3,129.594,14.4
ch01_00000000141000000.mp4,6883,motorcycle,1,129.943,13.8
ch01_00000000141000000.mp4,6984,motorcycle,1,131.293,18.9
ch01_00000000141000000.mp4,7033,motorcycle,1,131.893,17.1
ch01_00000000141000000.mp4,7020,truck,6,132.193,13.3
ch01_00000000141000000.mp4,6990,motorcycle,1,132.243,16.4
ch01_00000000141000000.mp4,7057,motorcycle,1,132.543,12.4
ch01_00000000141000000.mp4,7148,motorcycle,1,133.593,15.7
ch01_00000000141000000.mp4,7199,motorcycle,1,134.443,16.4
ch01_00000000141000000.mp4,7219,car,2,134.543,12.9
ch01_00000000141000000.mp4,7250,motorcycle,1,135.393,18.0
ch01_00000000141000000.mp4,7001,car,3,135.593,9.5
ch01_00000000141000000.mp4,7260,car,2,135.993,16.4
ch01_00000000141000000.mp4,7290,motorcycle,1,135.993,18.0
ch01_00000000141000000.mp4,7336,motorcycle,1,136.543,21.2
ch01_00000000141000000.mp4,7281,motorcycle,1,136.693,18.0
ch01_00000000141000000.mp4,7273,car,2,137.293,8.2
ch01_00000000141000000.mp4,7464,motorcycle,1,138.743,20.0
ch01_00000000141000000.mp4,7471,car,2,139.393,18.0
ch01_00000000141000000.mp4,7489,motorcycle,1,139.393,22.5
ch01_00000000141000000.mp4,7519,motorcycle,1,139.893,17.1
ch01_00000000141000000.mp4,7548,motorcycle,1,140.443,20.0
ch01_00000000141000000.mp4,7572,motorcycle,1,140.843,18.9
ch01_00000000141000000.mp4,7595,motorcycle,1,141.343,22.5
ch01_00000000141000000.mp4,7618,motorcycle,1,141.893,18.9
ch01_00000000141000000.mp4,7613,motorcycle,1,141.943,21.2
ch01_00000000141000000.mp4,7653,motorcycle,1,142.643,24.0
ch01_00000000141000000.mp4,7637,car,2,145.243,7.7
ch01_00000000141000000.mp4,7789,motorcycle,1,146.243,18.9
ch01_00000000141000000.mp4,7823,car,2,147.843,12.0
ch01_00000000141000000.mp4,7922,motorcycle,1,148.893,18.9
ch01_00000000141000000.mp4,7910,truck,4,149.243,12.0
ch01_00000000141000000.mp4,7994,motorcycle,1,150.392,20.0
ch01_00000000141000000.mp4,8013,motorcycle,1,150.942,20.0
ch01_00000000141000000.mp4,8046,motorcycle,1,151.492,17.1
ch01_00000000141000000.mp4,8077,motorcycle,1,151.942,16.4
ch01_00000000141000000.mp4,8080,motorcycle,1,152.242,15.7
ch01_00000000141000000.mp4,8061,truck,6,152.592,13.8
ch01_00000000141000000.mp4,8168,motorcycle,1,153.392,18.0
ch01_00000000141000000.mp4,7982,car,2,153.492,11.3
ch01_00000000141000000.mp4,8174,motorcycle,1,153.792,20.0
ch01_00000000141000000.mp4,8187,truck,4,154.542,13.8
ch01_00000000141000000.mp4,8223,motorcycle,1,154.542,18.9
ch01_00000000141000000.mp4,8301,motorcycle,1,155.942,21.2
ch01_00000000141000000.mp4,8247,motorcycle,1,156.042,6.1
ch01_00000000141000000.mp4,8354,car,2,157.092,15.0
ch01_00000000141000000.mp4,8390,motorcycle,1,157.342,21.2
ch01_00000000141000000.mp4,8363,car,2,157.942,4.7
ch01_00000000141000000.mp4,8484,motorcycle,1,158.342,20.0
ch01_00000000141000000.mp4,8480,car,2,158.692,15.7
ch01_00000000141000000.mp4,8502,motorcycle,1,159.142,13.3
ch01_00000000141000000.mp4,8537,motorcycle,1,160.042,11.6
ch01_00000000141000000.mp4,8546,motorcycle,1,160.992,2.3
ch01_00000000141000000.mp4,8682,car,2,163.342,9.7
ch01_00000000141000000.mp4,8783,car,2,165.342,4.9
ch01_00000000141000000.mp4,8818,car,2,166.192,9.7
ch01_00000000141000000.mp4,8866,motorcycle,1,166.392,5.1
ch01_00000000141000000.mp4,8932,car,2,168.392,6.1
ch01_00000000141000000.mp4,9045,motorcycle,1,168.792,8.4
ch01_00000000141000000.mp4,9153,motorcycle,1,170.591,9.5
ch01_00000000141000000.mp4,9079,car,2,170.691,8.0
ch01_00000000141000000.mp4,9199,motorcycle,1,171.441,9.5
ch01_00000000141000000.mp4,9246,car,2,171.641,5.2
ch01_00000000141000000.mp4,9316,motorcycle,1,173.091,12.4
ch01_00000000141000000.mp4,9300,truck,6,174.841,8.4
ch01_00000000141000000.mp4,9444,motorcycle,1,176.141,16.4
ch01_00000000141000000.mp4,9417,truck,4,176.941,7.7
ch01_00000000141000000.mp4,9446,truck,4,177.941,10.3
ch01_00000000141000000.mp4,9619,motorcycle,1,178.491,20.0
ch01_00000000141000000.mp4,9597,motorcycle,1,178.841,9.5
ch01_00000000141000000.mp4,9660,motorcycle,1,179.191,24.0
ch01_00000000141000000.mp4,9613,car,2,179.641,11.6
ch01_00000000141000000.mp4,9449,car,2,181.141,8.8
ch01_00000000141000000.mp4,9806,motorcycle,1,181.591,30.0
ch01_00000000141000000.mp4,9759,car,2,181.891,11.6
ch01_00000000141000000.mp4,9869,motorcycle,1,182.741,18.0
ch01_00000000141000000.mp4,9901,motorcycle,1,183.241,18.9
ch01_00000000141000000.mp4,9870,car,2,183.541,11.6
ch01_00000000141000000.mp4,9937,motorcycle,1,184.341,15.0
ch01_00000000141000000.mp4,9965,car,2,185.691,13.3
ch01_00000000141000000.mp4,10042,motorcycle,1,186.091,6.9
ch01_00000000141000000.mp4,10107,car,2,187.69,13.8
ch01_00000000141000000.mp4,10147,motorcycle,1,188.09,17.1
ch01_00000000141000000.mp4,10195,motorcycle,1,188.69,18.0
ch01_00000000141000000.mp4,10171,motorcycle,1,188.84,18.0
ch01_00000000141000000.mp4,10189,motorcycle,1,189.141,17.1
ch01_00000000141000000.mp4,10094,truck,6,190.04,4.2
ch01_00000000141000000.mp4,10274,motorcycle,1,190.39,15.7
ch01_00000000141000000.mp4,10379,motorcycle,1,192.34,12.4
ch01_00000000141000000.mp4,10440,motorcycle,1,193.04,5.8
ch01_00000000141000000.mp4,10337,car,2,193.19,8.0
ch01_00000000141000000.mp4,10444,motorcycle,1,193.49,12.4
ch01_00000000141000000.mp4,10508,motorcycle,1,194.24,13.3
ch01_00000000141000000.mp4,10574,motorcycle,1,195.04,14.4
ch01_00000000141000000.mp4,10511,car,2,195.89,10.0
ch01_00000000141000000.mp4,10656,motorcycle,1,196.24,13.8
ch01_00000000141000000.mp4,10685,motorcycle,1,196.84,13.8
ch01_00000000141000000.mp4,10810,motorcycle,1,198.34,12.9
ch01_00000000141000000.mp4,10766,car,2,198.84,9.0
ch01_00000000141000000.mp4,10874,motorcycle,1,199.34,12.9
ch01_00000000141000000.mp4,10870,car,2,200.54,10.0
ch01_00000000141000000.mp4,10999,truck,4,202.24,10.6
ch01_00000000141000000.mp4,11128,car,3,204.64,13.8
ch01_00000000141000000.mp4,11218,motorcycle,1,206.14,15.0
ch01_00000000141000000.mp4,11251,motorcycle,1,206.989,5.7
ch01_00000000141000000.mp4,11269,motorcycle,1,207.19,15.0
ch01_00000000141000000.mp4,11302,motorcycle,1,207.94,15.0
ch01_00000000141000000.mp4,11271,car,3,208.589,3.5
ch01_00000000141000000.mp4,11332,car,2,209.039,13.8
ch01_00000000141000000.mp4,11274,car,2,209.439,5.5
ch01_00000000141000000.mp4,11396,truck,4,210.639,11.6
ch01_00000000141000000.mp4,11453,motorcycle,1,211.389,11.3
ch01_00000000141000000.mp4,11502,motorcycle,1,211.789,11.3
ch01_00000000141000000.mp4,11535,motorcycle,1,212.489,11.6
ch01_00000000141000000.mp4,11378,car,3,213.039,6.8
ch01_00000000141000000.mp4,11596,motorcycle,1,213.089,15.0
ch01_00000000141000000.mp4,11617,car,2,214.339,10.6
ch01_00000000141000000.mp4,11658,motorcycle,1,214.389,13.3
ch01_00000000141000000.mp4,11710,car,2,215.639,10.3
ch01_00000000141000000.mp4,11747,motorcycle,1,215.839,10.9
ch01_00000000141000000.mp4,11844,motorcycle,1,217.189,5.7
ch01_00000000141000000.mp4,11765,car,2,217.239,9.0
ch01_00000000141000000.mp4,11886,motorcycle,1,219.239,13.3
ch01_00000000141000000.mp4,11891,truck,6,219.489,7.7
ch01_00000000141000000.mp4,12025,truck,6,222.289,5.1
ch01_00000000141000000.mp4,12258,motorcycle,1,225.489,9.5
ch01_00000000141000000.mp4,12213,car,2,227.038,6.5
ch01_00000000141000000.mp4,12465,motorcycle,1,229.388,16.4
ch01_00000000141000000.mp4,12538,car,3,231.138,12.9
ch01_00000000141000000.mp4,12630,motorcycle,1,232.688,14.4
