video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000142000000.mp4,5,motorcycle,1,0.25,9.0
ch01_00000000142000000.mp4,7,motorcycle,1,0.5,18.0
ch01_00000000142000000.mp4,11,motorcycle,1,1.15,9.0
ch01_00000000142000000.mp4,32,motorcycle,1,1.85,14.4
ch01_00000000142000000.mp4,88,motorcycle,1,3.15,13.3
ch01_00000000142000000.mp4,13,car,2,4.15,8.0
ch01_00000000142000000.mp4,183,motorcycle,1,4.65,15.7
ch01_00000000142000000.mp4,73,motorcycle,1,6.2,12.9
ch01_00000000142000000.mp4,164,car,2,6.8,15.7
ch01_00000000142000000.mp4,55,motorcycle,1,7.25,10.6
ch01_00000000142000000.mp4,154,motorcycle,1,7.6,15.7
ch01_00000000142000000.mp4,145,motorcycle,1,7.65,8.0
ch01_00000000142000000.mp4,100,motorcycle,1,8.0,10.9
ch01_00000000142000000.mp4,188,motorcycle,1,8.85,12.0
ch01_00000000142000000.mp4,255,motorcycle,1,8.85,18.0
ch01_00000000142000000.mp4,269,motorcycle,1,9.649,12.0
ch01_00000000142000000.mp4,312,car,3,10.3,8.6
ch01_00000000142000000.mp4,256,car,2,11.099,11.2
ch01_00000000142000000.mp4,392,motorcycle,1,11.349,10.9
ch01_00000000142000000.mp4,262,car,2,11.499,7.5
ch01_00000000142000000.mp4,455,motorcycle,1,11.799,13.8
ch01_00000000142000000.mp4,496,motorcycle,1,12.299,10.3
ch01_00000000142000000.mp4,509,motorcycle,1,12.549,12.9
ch01_00000000142000000.mp4,572,motorcycle,1,13.649,12.9
ch01_00000000142000000.mp4,592,motorcycle,1,13.749,18.9
ch01_00000000142000000.mp4,671,motorcycle,1,14.799,13.3
ch01_00000000142000000.mp4,688,car,3,15.849,12.0
ch01_00000000142000000.mp4,653,motorcycle,1,16.149,11.3
ch01_00000000142000000.mp4,826,motorcycle,1,16.749,21.2
ch01_00000000142000000.mp4,835,motorcycle,1,17.049,11.2
ch01_00000000142000000.mp4,872,motorcycle,1,17.599,15.0
ch01_00000000142000000.mp4,915,motorcycle,1,17.599,12.4
ch01_00000000142000000.mp4,926,motorcycle,1,18.399,13.8
ch01_00000000142000000.mp4,892,car,2,18.549,11.6
ch01_00000000142000000.mp4,958,motorcycle,1,18.949,15.0
ch01_00000000142000000.mp4,1020,motorcycle,1,19.849,14.4
ch01_00000000142000000.mp4,1055,motorcycle,1,20.249,18.9
ch01_00000000142000000.mp4,1094,motorcycle,1,20.899,17.1
ch01_00000000142000000.mp4,1068,car,2,20.949,13.8
ch01_00000000142000000.mp4,1103,motorcycle,1,21.249,16.4
ch01_00000000142000000.mp4,1083,motorcycle,1,21.999,16.4
ch01_00000000142000000.mp4,1229,motorcycle,1,22.599,15.7
ch01_00000000142000000.mp4,1236,car,2,23.249,12.0
ch01_00000000142000000.mp4,1286,motorcycle,1,23.499,13.3
ch01_00000000142000000.mp4,1357,motorcycle,1,24.349,15.7
ch01_00000000142000000.mp4,1358,motorcycle,1,24.349,14.4
ch01_00000000142000000.mp4,1403,motorcycle,1,25.049,13.8
ch01_00000000142000000.mp4,1472,motorcycle,1,25.699,13.8
ch01_00000000142000000.mp4,1396,truck,6,25.899,11.3
ch01_00000000142000000.mp4,1494,motorcycle,1,26.249,13.3
ch01_00000000142000000.mp4,1493,motorcycle,1,26.599,12.9
ch01_00000000142000000.mp4,1561,motorcycle,1,27.399,13.3
ch01_00000000142000000.mp4,1636,motorcycle,1,28.748,13.8
ch01_00000000142000000.mp4,1696,motorcycle,1,28.748,17.1
ch01_00000000142000000.mp4,1664,motorcycle,1,28.849,16.4
