video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000143000000.mp4,3,motorcycle,1,0.35,16.4
ch01_00000000143000000.mp4,1,car,2,1.2,8.0
ch01_00000000143000000.mp4,62,motorcycle,1,1.4,16.4
ch01_00000000143000000.mp4,65,motorcycle,1,2.3,20.0
ch01_00000000143000000.mp4,16,truck,4,2.35,5.8
ch01_00000000143000000.mp4,149,motorcycle,1,3.25,12.4
ch01_00000000143000000.mp4,21,car,2,3.35,8.6
ch01_00000000143000000.mp4,157,motorcycle,1,3.45,18.9
ch01_00000000143000000.mp4,217,motorcycle,1,3.95,16.4
ch01_00000000143000000.mp4,275,truck,6,5.6,9.5
ch01_00000000143000000.mp4,332,motorcycle,1,5.65,15.7
ch01_00000000143000000.mp4,369,motorcycle,1,6.0,15.0
ch01_00000000143000000.mp4,320,motorcycle,1,6.9,9.0
ch01_00000000143000000.mp4,501,motorcycle,1,6.95,18.0
ch01_00000000143000000.mp4,513,car,2,7.4,13.3
ch01_00000000143000000.mp4,551,motorcycle,1,8.05,16.4
ch01_00000000143000000.mp4,510,car,2,8.95,9.5
ch01_00000000143000000.mp4,684,motorcycle,1,9.55,12.9
ch01_00000000143000000.mp4,710,motorcycle,1,9.95,18.9
ch01_00000000143000000.mp4,703,motorcycle,1,10.999,10.0
ch01_00000000143000000.mp4,858,motorcycle,1,11.349,15.7
ch01_00000000143000000.mp4,922,motorcycle,1,12.499,15.7
ch01_00000000143000000.mp4,1021,motorcycle,1,13.449,16.4
ch01_00000000143000000.mp4,1091,motorcycle,1,14.049,12.4
ch01_00000000143000000.mp4,1133,motorcycle,1,14.149,12.9
ch01_00000000143000000.mp4,1061,motorcycle,1,14.249,17.1
ch01_00000000143000000.mp4,1126,motorcycle,1,14.849,12.0
ch01_00000000143000000.mp4,1122,car,2,15.399,10.9
ch01_00000000143000000.mp4,1183,motorcycle,1,15.399,13.8
ch01_00000000143000000.mp4,1288,motorcycle,1,16.049,15.0
ch01_00000000143000000.mp4,1350,car,2,17.249,13.8
ch01_00000000143000000.mp4,1429,car,2,17.899,13.8
ch01_00000000143000000.mp4,1503,motorcycle,1,18.349,10.3
ch01_00000000143000000.mp4,1594,motorcycle,1,19.149,15.0
ch01_00000000143000000.mp4,1676,motorcycle,1,20.199,18.0
ch01_00000000143000000.mp4,1689,motorcycle,1,20.949,5.3
ch01_00000000143000000.mp4,1773,motorcycle,1,20.999,18.0
ch01_00000000143000000.mp4,1765,motorcycle,1,21.099,17.1
ch01_00000000143000000.mp4,1853,motorcycle,1,21.849,17.1
ch01_00000000143000000.mp4,1774,motorcycle,1,21.949,10.6
ch01_00000000143000000.mp4,1602,motorcycle,1,21.999,10.0
ch01_00000000143000000.mp4,1829,motorcycle,1,22.249,6.0
ch01_00000000143000000.mp4,1883,motorcycle,1,22.349,17.1
ch01_00000000143000000.mp4,2084,motorcycle,1,24.399,10.6
ch01_00000000143000000.mp4,2083,motorcycle,1,24.799,12.4
ch01_00000000143000000.mp4,2177,motorcycle,1,25.799,13.3
ch01_00000000143000000.mp4,2162,motorcycle,1,25.949,12.0
ch01_00000000143000000.mp4,2212,motorcycle,1,26.099,15.7
ch01_00000000143000000.mp4,2261,motorcycle,1,26.699,15.7
ch01_00000000143000000.mp4,2274,truck,4,27.749,11.6
ch01_00000000143000000.mp4,2381,motorcycle,1,28.099,9.0
ch01_00000000143000000.mp4,2437,motorcycle,1,28.199,6.3
