video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000144000000.mp4,8,car,2,0.15,11.3
ch01_00000000144000000.mp4,6,car,2,0.25,12.4
ch01_00000000144000000.mp4,4,car,2,0.6,10.6
ch01_00000000144000000.mp4,57,car,2,2.1,12.4
ch01_00000000144000000.mp4,111,motorcycle,1,3.35,17.1
ch01_00000000144000000.mp4,204,motorcycle,1,3.75,17.1
ch01_00000000144000000.mp4,139,truck,4,4.25,12.4
ch01_00000000144000000.mp4,405,motorcycle,1,6.0,18.0
ch01_00000000144000000.mp4,363,car,2,6.2,12.4
ch01_00000000144000000.mp4,626,motorcycle,1,8.65,24.0
ch01_00000000144000000.mp4,612,car,2,9.0,12.4
ch01_00000000144000000.mp4,691,car,3,9.499,17.1
ch01_00000000144000000.mp4,793,motorcycle,1,10.399,16.4
ch01_00000000144000000.mp4,963,motorcycle,1,12.449,20.0
ch01_00000000144000000.mp4,921,car,2,12.749,13.8
ch01_00000000144000000.mp4,1134,car,2,13.999,4.8
ch01_00000000144000000.mp4,1162,car,2,15.399,12.0
ch01_00000000144000000.mp4,1336,motorcycle,1,15.749,14.4
ch01_00000000144000000.mp4,1439,motorcycle,1,17.099,17.1
ch01_00000000144000000.mp4,1368,car,2,17.699,12.4
ch01_00000000144000000.mp4,1457,car,2,17.749,13.8
ch01_00000000144000000.mp4,1839,motorcycle,1,21.249,12.4
ch01_00000000144000000.mp4,1950,motorcycle,1,22.349,13.3
ch01_00000000144000000.mp4,1983,motorcycle,1,22.699,16.4
ch01_00000000144000000.mp4,2346,car,2,27.149,15.7
ch01_00000000144000000.mp4,2444,motorcycle,1,27.699,24.0
ch01_00000000144000000.mp4,2345,truck,6,28.649,15.7
ch01_00000000144000000.mp4,2474,car,2,28.699,15.7
ch01_00000000144000000.mp4,2570,motorcycle,1,29.248,24.0
ch01_00000000144000000.mp4,2889,car,2,32.498,17.1
ch01_00000000144000000.mp4,2873,truck,4,32.698,5.1
ch01_00000000144000000.mp4,3179,motorcycle,1,36.998,10.6
ch01_00000000144000000.mp4,3463,motorcycle,1,38.048,5.1
ch01_00000000144000000.mp4,3573,motorcycle,1,38.898,16.4
ch01_00000000144000000.mp4,3570,car,2,39.548,13.3
ch01_00000000144000000.mp4,3753,motorcycle,1,40.898,20.0
ch01_00000000144000000.mp4,4025,motorcycle,1,43.148,27.7
ch01_00000000144000000.mp4,3816,car,2,43.398,13.8
ch01_00000000144000000.mp4,4097,car,2,44.448,15.0
ch01_00000000144000000.mp4,4395,car,2,47.098,14.4
ch01_00000000144000000.mp4,4656,motorcycle,1,50.498,4.6
ch01_00000000144000000.mp4,4602,motorcycle,1,50.648,2.9
ch01_00000000144000000.mp4,4812,motorcycle,1,51.097,15.7
ch01_00000000144000000.mp4,5506,motorcycle,1,57.897,12.4
ch01_00000000144000000.mp4,5546,car,2,59.147,13.8
ch01_00000000144000000.mp4,5824,motorcycle,1,62.447,30.0
ch01_00000000144000000.mp4,6004,motorcycle,1,64.647,21.2
ch01_00000000144000000.mp4,6050,motorcycle,1,65.147,8.0
ch01_00000000144000000.mp4,6992,motorcycle,1,75.196,12.9
ch01_00000000144000000.mp4,7001,car,2,75.396,24.0
ch01_00000000144000000.mp4,7122,motorcycle,1,76.146,27.7
ch01_00000000144000000.mp4,7272,motorcycle,1,77.446,8.8
ch01_00000000144000000.mp4,7330,motorcycle,1,77.646,30.0
ch01_00000000144000000.mp4,7410,motorcycle,1,78.346,36.0
ch01_00000000144000000.mp4,7352,motorcycle,1,78.346,12.9
ch01_00000000144000000.mp4,7444,motorcycle,1,79.296,6.1
ch01_00000000144000000.mp4,7552,motorcycle,1,79.496,27.7
ch01_00000000144000000.mp4,8544,motorcycle,1,88.496,24.0
ch01_00000000144000000.mp4,8724,motorcycle,1,90.596,25.7
ch01_00000000144000000.mp4,8762,motorcycle,1,91.046,20.0
ch01_00000000144000000.mp4,8789,motorcycle,1,91.346,24.0
ch01_00000000144000000.mp4,8829,motorcycle,1,91.645,25.7
ch01_00000000144000000.mp4,8905,motorcycle,1,92.395,21.2
ch01_00000000144000000.mp4,9091,motorcycle,1,94.495,20.0
ch01_00000000144000000.mp4,9186,motorcycle,1,95.745,18.0
ch01_00000000144000000.mp4,9214,motorcycle,1,95.995,18.0
ch01_00000000144000000.mp4,9167,motorcycle,1,96.945,10.0
ch01_00000000144000000.mp4,9304,motorcycle,1,97.045,15.7
ch01_00000000144000000.mp4,9393,motorcycle,1,97.645,15.7
ch01_00000000144000000.mp4,9394,motorcycle,1,98.195,11.6
ch01_00000000144000000.mp4,9500,motorcycle,1,98.945,15.0
ch01_00000000144000000.mp4,9554,motorcycle,1,99.245,16.4
ch01_00000000144000000.mp4,9780,motorcycle,1,101.095,17.1
ch01_00000000144000000.mp4,9893,motorcycle,1,101.995,24.0
ch01_00000000144000000.mp4,9924,motorcycle,1,102.445,17.1
ch01_00000000144000000.mp4,9925,motorcycle,1,102.495,15.7
ch01_00000000144000000.mp4,10021,motorcycle,1,103.545,15.0
ch01_00000000144000000.mp4,9997,motorcycle,1,103.945,20.0
ch01_00000000144000000.mp4,10150,motorcycle,1,104.745,16.4
ch01_00000000144000000.mp4,10269,car,2,106.345,17.1
ch01_00000000144000000.mp4,10328,motorcycle,1,106.945,9.0
ch01_00000000144000000.mp4,10385,car,2,107.495,3.5
ch01_00000000144000000.mp4,10513,motorcycle,1,108.145,22.5
ch01_00000000144000000.mp4,10567,car,2,110.594,3.8
ch01_00000000144000000.mp4,10681,motorcycle,1,111.144,20.0
ch01_00000000144000000.mp4,10556,car,2,111.544,8.0
ch01_00000000144000000.mp4,11006,motorcycle,1,113.944,18.9
ch01_00000000144000000.mp4,11057,car,2,114.844,14.4
ch01_00000000144000000.mp4,11290,motorcycle,1,116.944,21.2
ch01_00000000144000000.mp4,11333,motorcycle,1,117.594,18.0
ch01_00000000144000000.mp4,11402,motorcycle,1,118.194,18.9
ch01_00000000144000000.mp4,11419,motorcycle,1,118.294,24.0
ch01_00000000144000000.mp4,11372,motorcycle,1,118.744,20.0
ch01_00000000144000000.mp4,11513,motorcycle,1,119.244,22.5
ch01_00000000144000000.mp4,11659,motorcycle,1,120.944,18.0
ch01_00000000144000000.mp4,11622,car,2,121.244,11.6
ch01_00000000144000000.mp4,11635,motorcycle,1,121.644,20.0
ch01_00000000144000000.mp4,11782,motorcycle,1,122.394,21.2
ch01_00000000144000000.mp4,11839,motorcycle,1,123.094,21.2
ch01_00000000144000000.mp4,11901,motorcycle,1,123.644,27.7
ch01_00000000144000000.mp4,11923,motorcycle,1,124.094,22.5
ch01_00000000144000000.mp4,11887,truck,6,124.394,13.3
ch01_00000000144000000.mp4,11963,motorcycle,1,124.594,24.0
ch01_00000000144000000.mp4,11989,motorcycle,1,125.044,20.0
ch01_00000000144000000.mp4,12006,motorcycle,1,125.944,22.5
ch01_00000000144000000.mp4,12120,motorcycle,1,125.994,22.5
ch01_00000000144000000.mp4,12193,motorcycle,1,126.894,21.2
ch01_00000000144000000.mp4,12255,car,3,127.394,12.9
