video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000145000000.mp4,15,car,2,2.75,7.8
ch01_00000000145000000.mp4,260,motorcycle,1,5.5,18.0
ch01_00000000145000000.mp4,414,motorcycle,1,9.05,5.1
ch01_00000000145000000.mp4,380,motorcycle,1,9.1,1.8
ch01_00000000145000000.mp4,409,car,2,10.449,12.0
ch01_00000000145000000.mp4,202,motorcycle,1,13.299,36.0
ch01_00000000145000000.mp4,197,motorcycle,1,13.749,12.4
ch01_00000000145000000.mp4,47,motorcycle,1,14.349,12.9
ch01_00000000145000000.mp4,103,motorcycle,1,15.699,13.3
ch01_00000000145000000.mp4,408,motorcycle,1,19.049,27.7
ch01_00000000145000000.mp4,539,motorcycle,1,21.199,16.4
ch01_00000000145000000.mp4,589,motorcycle,1,22.149,25.7
ch01_00000000145000000.mp4,646,motorcycle,1,22.899,24.0
ch01_00000000145000000.mp4,676,car,2,23.849,5.8
ch01_00000000145000000.mp4,739,motorcycle,1,23.949,27.7
ch01_00000000145000000.mp4,811,motorcycle,1,26.349,6.0
ch01_00000000145000000.mp4,922,motorcycle,1,26.498,25.7
ch01_00000000145000000.mp4,969,motorcycle,1,27.298,27.7
ch01_00000000145000000.mp4,1031,motorcycle,1,28.348,24.0
ch01_00000000145000000.mp4,1050,motorcycle,1,28.798,24.0
ch01_00000000145000000.mp4,1062,motorcycle,1,28.998,25.7
ch01_00000000145000000.mp4,1115,motorcycle,1,29.698,24.0
ch01_00000000145000000.mp4,1079,motorcycle,1,29.698,7.8
ch01_00000000145000000.mp4,1147,motorcycle,1,30.098,25.7
ch01_00000000145000000.mp4,1209,motorcycle,1,30.698,27.7
ch01_00000000145000000.mp4,1361,motorcycle,1,33.298,27.7
ch01_00000000145000000.mp4,1419,motorcycle,1,34.198,17.1
ch01_00000000145000000.mp4,1447,motorcycle,1,34.448,17.1
ch01_00000000145000000.mp4,1522,motorcycle,1,35.648,16.4
ch01_00000000145000000.mp4,1499,motorcycle,1,36.648,20.0
ch01_00000000145000000.mp4,1660,motorcycle,1,37.398,24.0
ch01_00000000145000000.mp4,1723,motorcycle,1,38.348,30.0
ch01_00000000145000000.mp4,1724,motorcycle,1,38.548,21.2
ch01_00000000145000000.mp4,1809,motorcycle,1,39.998,18.9
ch01_00000000145000000.mp4,1892,motorcycle,1,41.448,24.0
ch01_00000000145000000.mp4,1836,car,3,41.548,10.0
ch01_00000000145000000.mp4,1959,motorcycle,1,42.698,25.7
ch01_00000000145000000.mp4,1930,car,2,43.597,10.3
ch01_00000000145000000.mp4,2022,truck,4,44.047,24.0
ch01_00000000145000000.mp4,2102,motorcycle,1,44.547,22.5
ch01_00000000145000000.mp4,2196,motorcycle,1,45.997,18.9
ch01_00000000145000000.mp4,2248,motorcycle,1,46.397,24.0
ch01_00000000145000000.mp4,2220,truck,4,46.847,10.6
ch01_00000000145000000.mp4,2317,motorcycle,1,47.547,20.0
ch01_00000000145000000.mp4,2339,motorcycle,1,47.697,20.0
ch01_00000000145000000.mp4,2340,motorcycle,1,47.747,21.2
ch01_00000000145000000.mp4,2428,motorcycle,1,48.847,25.7
ch01_00000000145000000.mp4,2451,motorcycle,1,49.497,11.3
ch01_00000000145000000.mp4,2496,motorcycle,1,49.697,24.0
ch01_00000000145000000.mp4,2456,car,2,49.897,20.0
ch01_00000000145000000.mp4,2617,motorcycle,1,51.597,27.7
ch01_00000000145000000.mp4,2634,motorcycle,1,51.947,27.7
ch01_00000000145000000.mp4,2680,motorcycle,1,52.647,24.0
ch01_00000000145000000.mp4,2628,car,2,53.797,16.4
ch01_00000000145000000.mp4,2820,motorcycle,1,55.197,20.0
ch01_00000000145000000.mp4,2723,car,2,56.097,6.7
ch01_00000000145000000.mp4,2826,motorcycle,1,56.347,10.9
ch01_00000000145000000.mp4,2989,motorcycle,1,57.897,18.9
ch01_00000000145000000.mp4,2958,truck,6,58.797,17.1
ch01_00000000145000000.mp4,3060,motorcycle,1,59.147,17.1
ch01_00000000145000000.mp4,3113,motorcycle,1,60.097,20.0
ch01_00000000145000000.mp4,3121,motorcycle,1,60.197,22.5
ch01_00000000145000000.mp4,3169,motorcycle,1,60.746,20.0
ch01_00000000145000000.mp4,3207,motorcycle,1,61.297,21.2
ch01_00000000145000000.mp4,3265,motorcycle,1,62.746,10.3
ch01_00000000145000000.mp4,3307,car,2,63.496,22.5
ch01_00000000145000000.mp4,3341,motorcycle,1,64.096,27.7
ch01_00000000145000000.mp4,3427,motorcycle,1,65.596,18.9
ch01_00000000145000000.mp4,3540,motorcycle,1,67.146,27.7
ch01_00000000145000000.mp4,3591,motorcycle,1,67.846,16.4
ch01_00000000145000000.mp4,3660,motorcycle,1,68.796,17.1
ch01_00000000145000000.mp4,3820,motorcycle,1,71.796,7.3
ch01_00000000145000000.mp4,3885,motorcycle,1,72.896,5.5
ch01_00000000145000000.mp4,3932,motorcycle,1,73.646,21.2
ch01_00000000145000000.mp4,4085,motorcycle,1,75.296,20.0
ch01_00000000145000000.mp4,4178,motorcycle,1,76.146,8.8
