video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000146000000.mp4,13,car,2,0.7,3.2
ch01_00000000146000000.mp4,44,motorcycle,1,1.5,15.0
ch01_00000000146000000.mp4,5,motorcycle,1,2.3,15.0
ch01_00000000146000000.mp4,32,car,2,3.3,2.4
ch01_00000000146000000.mp4,116,motorcycle,1,3.6,21.2
ch01_00000000146000000.mp4,129,car,2,5.6,15.7
ch01_00000000146000000.mp4,192,motorcycle,1,5.6,15.7
ch01_00000000146000000.mp4,205,motorcycle,1,6.599,12.9
ch01_00000000146000000.mp4,266,motorcycle,1,7.849,21.2
ch01_00000000146000000.mp4,186,motorcycle,1,7.899,6.7
ch01_00000000146000000.mp4,320,car,2,11.049,8.6
ch01_00000000146000000.mp4,337,motorcycle,1,11.049,2.8
ch01_00000000146000000.mp4,140,motorcycle,1,13.049,14.4
ch01_00000000146000000.mp4,147,motorcycle,1,15.099,6.9
ch01_00000000146000000.mp4,341,car,2,18.199,11.3
ch01_00000000146000000.mp4,264,car,2,18.599,6.7
ch01_00000000146000000.mp4,363,motorcycle,1,19.499,12.0
ch01_00000000146000000.mp4,415,motorcycle,1,20.299,11.3
ch01_00000000146000000.mp4,106,motorcycle,1,22.198,15.7
ch01_00000000146000000.mp4,159,motorcycle,1,22.798,12.4
ch01_00000000146000000.mp4,170,truck,6,25.548,12.0
ch01_00000000146000000.mp4,177,motorcycle,1,27.698,14.4
ch01_00000000146000000.mp4,183,motorcycle,1,28.398,15.0
ch01_00000000146000000.mp4,268,motorcycle,1,29.298,14.4
ch01_00000000146000000.mp4,346,truck,6,31.398,12.0
ch01_00000000146000000.mp4,450,motorcycle,1,31.698,8.2
ch01_00000000146000000.mp4,477,motorcycle,1,32.548,13.8
ch01_00000000146000000.mp4,527,car,2,33.947,13.3
ch01_00000000146000000.mp4,641,motorcycle,1,35.148,14.4
ch01_00000000146000000.mp4,635,car,3,37.447,4.4
ch01_00000000146000000.mp4,787,car,2,38.147,12.4
ch01_00000000146000000.mp4,860,motorcycle,1,39.197,12.9
ch01_00000000146000000.mp4,861,car,2,39.397,15.7
ch01_00000000146000000.mp4,901,motorcycle,1,39.797,12.9
ch01_00000000146000000.mp4,939,motorcycle,1,39.847,14.4
ch01_00000000146000000.mp4,973,motorcycle,1,40.597,15.0
ch01_00000000146000000.mp4,796,motorcycle,1,41.547,7.8
ch01_00000000146000000.mp4,1056,motorcycle,1,42.347,8.2
ch01_00000000146000000.mp4,1074,car,2,42.747,12.0
ch01_00000000146000000.mp4,1174,car,2,44.847,10.6
ch01_00000000146000000.mp4,1327,motorcycle,1,46.047,12.9
