video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000148000000.mp4,169,car,2,8.449,25.7
ch01_00000000148000000.mp4,71,motorcycle,1,18.299,22.5
ch01_00000000148000000.mp4,91,motorcycle,1,19.049,7.8
ch01_00000000148000000.mp4,339,motorcycle,1,32.648,30.0
ch01_00000000148000000.mp4,286,car,2,32.948,14.4
ch01_00000000148000000.mp4,345,motorcycle,1,33.098,27.7
ch01_00000000148000000.mp4,387,motorcycle,1,33.698,25.7
ch01_00000000148000000.mp4,92,motorcycle,1,35.097,24.0
ch01_00000000148000000.mp4,80,motorcycle,1,35.647,1.3
ch01_00000000148000000.mp4,168,motorcycle,1,36.447,30.0
ch01_00000000148000000.mp4,146,car,2,37.097,15.0
ch01_00000000148000000.mp4,208,motorcycle,1,37.697,18.9
ch01_00000000148000000.mp4,180,motorcycle,1,37.897,3.8
ch01_00000000148000000.mp4,269,motorcycle,1,38.947,30.0
ch01_00000000148000000.mp4,274,motorcycle,1,39.047,24.0
ch01_00000000148000000.mp4,343,car,2,40.997,15.0
ch01_00000000148000000.mp4,390,motorcycle,1,41.497,30.0
ch01_00000000148000000.mp4,426,motorcycle,1,42.597,24.0
ch01_00000000148000000.mp4,74,motorcycle,1,43.797,21.2
ch01_00000000148000000.mp4,81,car,2,44.947,13.8
ch01_00000000148000000.mp4,152,motorcycle,1,45.347,24.0
ch01_00000000148000000.mp4,154,car,3,45.947,15.0
ch01_00000000148000000.mp4,182,car,2,48.547,15.7
ch01_00000000148000000.mp4,129,motorcycle,1,49.246,40.0
ch01_00000000148000000.mp4,289,car,2,51.646,15.7
ch01_00000000148000000.mp4,358,motorcycle,1,52.346,21.2
ch01_00000000148000000.mp4,402,motorcycle,1,52.696,24.0
ch01_00000000148000000.mp4,432,motorcycle,1,53.096,24.0
ch01_00000000148000000.mp4,556,motorcycle,1,55.296,30.0
ch01_00000000148000000.mp4,606,motorcycle,1,56.196,25.7
ch01_00000000148000000.mp4,629,motorcycle,1,56.646,20.0
ch01_00000000148000000.mp4,628,motorcycle,1,56.746,22.5
ch01_00000000148000000.mp4,696,motorcycle,1,57.346,22.5
ch01_00000000148000000.mp4,784,car,2,58.846,20.0
ch01_00000000148000000.mp4,851,motorcycle,1,59.596,21.2
ch01_00000000148000000.mp4,899,motorcycle,1,60.246,22.5
ch01_00000000148000000.mp4,938,motorcycle,1,60.696,21.2
ch01_00000000148000000.mp4,955,motorcycle,1,60.746,27.7
ch01_00000000148000000.mp4,1013,motorcycle,1,61.946,24.0
ch01_00000000148000000.mp4,1052,motorcycle,1,62.745,16.4
ch01_00000000148000000.mp4,1036,car,2,62.845,21.2
ch01_00000000148000000.mp4,1110,motorcycle,1,63.295,24.0
ch01_00000000148000000.mp4,1238,motorcycle,1,64.845,21.2
ch01_00000000148000000.mp4,1193,motorcycle,1,65.195,20.0
ch01_00000000148000000.mp4,1285,motorcycle,1,65.945,21.2
ch01_00000000148000000.mp4,1395,motorcycle,1,67.295,22.5
ch01_00000000148000000.mp4,1449,motorcycle,1,67.995,18.9
ch01_00000000148000000.mp4,1512,motorcycle,1,68.995,24.0
ch01_00000000148000000.mp4,1504,motorcycle,1,69.045,18.0
ch01_00000000148000000.mp4,1520,motorcycle,1,69.445,10.6
ch01_00000000148000000.mp4,1573,car,2,71.245,12.0
ch01_00000000148000000.mp4,1655,motorcycle,1,71.445,18.0
ch01_00000000148000000.mp4,1695,motorcycle,1,71.795,22.5
ch01_00000000148000000.mp4,1743,car,2,72.845,18.0
ch01_00000000148000000.mp4,1877,motorcycle,1,74.645,20.0
ch01_00000000148000000.mp4,1882,truck,4,75.294,17.1
ch01_00000000148000000.mp4,1961,car,2,76.744,17.1
ch01_00000000148000000.mp4,2008,motorcycle,1,78.144,22.5
ch01_00000000148000000.mp4,2146,motorcycle,1,78.844,21.2
ch01_00000000148000000.mp4,2064,car,3,79.044,14.4
ch01_00000000148000000.mp4,2176,car,2,79.644,15.0
ch01_00000000148000000.mp4,2319,car,2,81.644,15.7
ch01_00000000148000000.mp4,2402,motorcycle,1,82.244,18.9
ch01_00000000148000000.mp4,2403,motorcycle,1,82.394,21.2
ch01_00000000148000000.mp4,2449,car,2,83.444,16.4
ch01_00000000148000000.mp4,2564,motorcycle,1,84.444,21.2
ch01_00000000148000000.mp4,2611,car,2,85.594,16.4
ch01_00000000148000000.mp4,2650,motorcycle,1,85.744,24.0
ch01_00000000148000000.mp4,2633,motorcycle,1,86.244,7.5
ch01_00000000148000000.mp4,2747,motorcycle,1,87.594,21.2
ch01_00000000148000000.mp4,2736,car,2,87.894,18.0
ch01_00000000148000000.mp4,2823,motorcycle,1,88.894,25.7
ch01_00000000148000000.mp4,2848,motorcycle,1,89.293,20.0
ch01_00000000148000000.mp4,2913,car,2,90.843,12.9
ch01_00000000148000000.mp4,2953,motorcycle,1,90.943,18.0
ch01_00000000148000000.mp4,3013,motorcycle,1,91.793,18.0
ch01_00000000148000000.mp4,3094,car,2,93.843,17.1
ch01_00000000148000000.mp4,3120,motorcycle,1,93.893,21.2
ch01_00000000148000000.mp4,3194,car,2,95.193,18.9
ch01_00000000148000000.mp4,3303,motorcycle,1,97.043,20.0
ch01_00000000148000000.mp4,3434,motorcycle,1,99.243,32.7
ch01_00000000148000000.mp4,3439,car,3,100.143,15.7
ch01_00000000148000000.mp4,3558,car,2,101.743,16.4
ch01_00000000148000000.mp4,3711,car,2,103.692,18.0
ch01_00000000148000000.mp4,3941,motorcycle,1,107.142,22.5
ch01_00000000148000000.mp4,3929,motorcycle,1,107.342,12.9
ch01_00000000148000000.mp4,4069,motorcycle,1,108.892,24.0
ch01_00000000148000000.mp4,4128,motorcycle,1,109.642,25.7
ch01_00000000148000000.mp4,4143,car,2,110.342,15.0
ch01_00000000148000000.mp4,4244,motorcycle,1,111.042,27.7
ch01_00000000148000000.mp4,4401,car,2,114.092,18.9
ch01_00000000148000000.mp4,4556,motorcycle,1,116.092,21.2
ch01_00000000148000000.mp4,4637,motorcycle,1,116.791,27.7
ch01_00000000148000000.mp4,4705,motorcycle,1,117.791,30.0
ch01_00000000148000000.mp4,4722,motorcycle,1,118.141,24.0
ch01_00000000148000000.mp4,4771,motorcycle,1,118.441,27.7
ch01_00000000148000000.mp4,4877,motorcycle,1,120.241,24.0
ch01_00000000148000000.mp4,4898,motorcycle,1,120.641,25.7
ch01_00000000148000000.mp4,4996,motorcycle,1,122.791,15.0
ch01_00000000148000000.mp4,5153,car,2,124.891,24.0
ch01_00000000148000000.mp4,5161,motorcycle,1,124.941,18.0
ch01_00000000148000000.mp4,5306,truck,4,126.991,27.7
ch01_00000000148000000.mp4,5426,truck,4,128.791,21.2
ch01_00000000148000000.mp4,5431,motorcycle,1,128.891,20.0
ch01_00000000148000000.mp4,5542,car,2,130.291,24.0
ch01_00000000148000000.mp4,5717,motorcycle,1,132.54,30.0
ch01_00000000148000000.mp4,5739,car,2,133.99,17.1
ch01_00000000148000000.mp4,5864,motorcycle,1,135.09,27.7
ch01_00000000148000000.mp4,5991,motorcycle,1,137.34,25.7
ch01_00000000148000000.mp4,6082,motorcycle,1,139.94,15.0
ch01_00000000148000000.mp4,6163,motorcycle,1,140.94,17.1
ch01_00000000148000000.mp4,6231,car,2,142.94,20.0
ch01_00000000148000000.mp4,6417,motorcycle,1,145.939,20.0
ch01_00000000148000000.mp4,6496,motorcycle,1,147.189,18.9
ch01_00000000148000000.mp4,6530,motorcycle,1,147.539,25.7
ch01_00000000148000000.mp4,6608,motorcycle,1,148.889,24.0
ch01_00000000148000000.mp4,6745,motorcycle,1,150.689,24.0
ch01_00000000148000000.mp4,6799,motorcycle,1,151.489,27.7
ch01_00000000148000000.mp4,6953,motorcycle,1,154.439,13.8
ch01_00000000148000000.mp4,6826,motorcycle,1,155.039,8.4
ch01_00000000148000000.mp4,6960,motorcycle,1,155.639,9.2
ch01_00000000148000000.mp4,7122,car,2,157.839,14.4
ch01_00000000148000000.mp4,7336,motorcycle,1,159.888,18.9
ch01_00000000148000000.mp4,7502,motorcycle,1,162.738,25.7
ch01_00000000148000000.mp4,7775,car,2,168.838,16.4
ch01_00000000148000000.mp4,8043,motorcycle,1,172.887,8.2
ch01_00000000148000000.mp4,8253,motorcycle,1,175.437,11.6
ch01_00000000148000000.mp4,8363,motorcycle,1,177.237,22.5
ch01_00000000148000000.mp4,8427,car,2,180.687,15.0
ch01_00000000148000000.mp4,8731,motorcycle,1,184.687,21.2
ch01_00000000148000000.mp4,8818,motorcycle,1,186.237,22.5
ch01_00000000148000000.mp4,8805,motorcycle,1,186.637,8.8
ch01_00000000148000000.mp4,9000,motorcycle,1,189.236,8.2
ch01_00000000148000000.mp4,9086,motorcycle,1,190.936,20.0
ch01_00000000148000000.mp4,9356,motorcycle,1,194.886,18.9
ch01_00000000148000000.mp4,9679,motorcycle,1,200.036,15.0
ch01_00000000148000000.mp4,9713,motorcycle,1,201.085,10.0
ch01_00000000148000000.mp4,9839,car,2,204.085,13.3
ch01_00000000148000000.mp4,9917,motorcycle,1,204.185,18.9
ch01_00000000148000000.mp4,10093,motorcycle,1,206.635,15.7
ch01_00000000148000000.mp4,10260,motorcycle,1,209.435,22.5
ch01_00000000148000000.mp4,10253,motorcycle,1,209.535,13.8
ch01_00000000148000000.mp4,10510,motorcycle,1,213.635,8.4
ch01_00000000148000000.mp4,11304,motorcycle,1,227.034,24.0
ch01_00000000148000000.mp4,11403,motorcycle,1,229.383,20.0
ch01_00000000148000000.mp4,11446,motorcycle,1,229.433,30.0
ch01_00000000148000000.mp4,11597,car,2,232.433,20.0
ch01_00000000148000000.mp4,11804,motorcycle,1,237.733,9.7
ch01_00000000148000000.mp4,11961,motorcycle,1,239.483,22.5
ch01_00000000148000000.mp4,12034,motorcycle,1,241.382,18.0
ch01_00000000148000000.mp4,12188,car,2,244.082,22.5
ch01_00000000148000000.mp4,12380,motorcycle,1,247.282,30.0
ch01_00000000148000000.mp4,12445,motorcycle,1,248.282,30.0
ch01_00000000148000000.mp4,12768,motorcycle,1,253.582,25.7
ch01_00000000148000000.mp4,12762,motorcycle,1,254.132,24.0
ch01_00000000148000000.mp4,12816,motorcycle,1,254.631,24.0
ch01_00000000148000000.mp4,12844,motorcycle,1,255.431,24.0
ch01_00000000148000000.mp4,12884,motorcycle,1,256.031,27.7
ch01_00000000148000000.mp4,12931,motorcycle,1,256.731,22.5
ch01_00000000148000000.mp4,12912,truck,4,256.931,15.0
ch01_00000000148000000.mp4,12953,motorcycle,1,257.481,7.8
ch01_00000000148000000.mp4,12958,motorcycle,1,257.481,21.2
ch01_00000000148000000.mp4,12991,motorcycle,1,257.881,27.7
ch01_00000000148000000.mp4,13039,motorcycle,1,258.881,12.4
ch01_00000000148000000.mp4,13030,motorcycle,1,260.231,10.3
ch01_00000000148000000.mp4,13169,motorcycle,1,260.281,22.5
ch01_00000000148000000.mp4,13315,motorcycle,1,262.481,21.2
ch01_00000000148000000.mp4,13395,motorcycle,1,263.431,24.0
ch01_00000000148000000.mp4,13362,car,2,263.581,18.9
ch01_00000000148000000.mp4,13348,motorcycle,1,263.981,18.9
ch01_00000000148000000.mp4,13483,motorcycle,1,264.731,20.0
ch01_00000000148000000.mp4,13535,motorcycle,1,265.281,18.9
ch01_00000000148000000.mp4,13544,motorcycle,1,265.531,21.2
ch01_00000000148000000.mp4,13590,motorcycle,1,266.081,18.9
