video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000149000000.mp4,28,motorcycle,1,1.95,11.6
ch01_00000000149000000.mp4,27,motorcycle,1,2.0,14.4
ch01_00000000149000000.mp4,39,motorcycle,1,2.65,15.7
ch01_00000000149000000.mp4,47,truck,6,3.2,15.0
ch01_00000000149000000.mp4,57,motorcycle,1,4.0,18.9
ch01_00000000149000000.mp4,76,motorcycle,1,4.85,17.1
ch01_00000000149000000.mp4,85,motorcycle,1,5.7,18.0
ch01_00000000149000000.mp4,95,motorcycle,1,6.85,18.9
ch01_00000000149000000.mp4,106,motorcycle,1,7.4,1.1
ch01_00000000149000000.mp4,114,motorcycle,1,8.05,18.0
ch01_00000000149000000.mp4,113,motorcycle,1,8.2,24.0
ch01_00000000149000000.mp4,126,motorcycle,1,9.05,22.5
ch01_00000000149000000.mp4,140,motorcycle,1,9.45,27.7
ch01_00000000149000000.mp4,134,motorcycle,1,9.8,18.9
ch01_00000000149000000.mp4,154,motorcycle,1,10.3,30.0
ch01_00000000149000000.mp4,179,motorcycle,1,11.599,20.0
ch01_00000000149000000.mp4,221,car,2,13.049,20.0
ch01_00000000149000000.mp4,229,car,2,13.049,20.0
ch01_00000000149000000.mp4,261,motorcycle,1,15.099,12.9
ch01_00000000149000000.mp4,267,motorcycle,1,15.149,30.0
ch01_00000000149000000.mp4,264,motorcycle,1,15.799,32.7
ch01_00000000149000000.mp4,278,car,2,16.199,24.0
ch01_00000000149000000.mp4,285,motorcycle,1,16.599,32.7
ch01_00000000149000000.mp4,299,motorcycle,1,17.399,27.7
ch01_00000000149000000.mp4,44,motorcycle,1,21.249,24.0
ch01_00000000149000000.mp4,58,motorcycle,1,21.849,25.7
ch01_00000000149000000.mp4,71,motorcycle,1,22.749,22.5
ch01_00000000149000000.mp4,72,motorcycle,1,22.999,1.3
ch01_00000000149000000.mp4,86,motorcycle,1,23.449,9.7
ch01_00000000149000000.mp4,112,motorcycle,1,24.699,20.0
ch01_00000000149000000.mp4,161,motorcycle,1,26.249,24.0
ch01_00000000149000000.mp4,184,motorcycle,1,27.099,30.0
ch01_00000000149000000.mp4,214,motorcycle,1,28.949,22.5
ch01_00000000149000000.mp4,230,motorcycle,1,29.648,36.0
ch01_00000000149000000.mp4,231,car,2,30.099,21.2
ch01_00000000149000000.mp4,271,motorcycle,1,31.448,24.0
ch01_00000000149000000.mp4,269,motorcycle,1,32.398,22.5
ch01_00000000149000000.mp4,272,motorcycle,1,33.998,11.3
ch01_00000000149000000.mp4,12,motorcycle,1,34.248,7.8
ch01_00000000149000000.mp4,96,motorcycle,1,38.048,18.9
ch01_00000000149000000.mp4,117,car,2,38.998,21.2
ch01_00000000149000000.mp4,139,motorcycle,1,39.798,24.0
ch01_00000000149000000.mp4,31,motorcycle,1,43.448,27.7
ch01_00000000149000000.mp4,205,motorcycle,1,43.548,10.9
ch01_00000000149000000.mp4,108,motorcycle,1,45.848,22.5
ch01_00000000149000000.mp4,122,motorcycle,1,45.848,12.4
ch01_00000000149000000.mp4,167,motorcycle,1,47.548,30.0
ch01_00000000149000000.mp4,215,car,2,49.298,22.5
ch01_00000000149000000.mp4,274,motorcycle,1,50.797,22.5
ch01_00000000149000000.mp4,318,motorcycle,1,51.897,24.0
