video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000150000000.mp4,60,truck,6,2.3,15.0
ch01_00000000150000000.mp4,338,motorcycle,1,4.15,18.0
ch01_00000000150000000.mp4,1020,motorcycle,1,12.899,14.4
ch01_00000000150000000.mp4,1137,motorcycle,1,13.649,30.0
ch01_00000000150000000.mp4,1401,motorcycle,1,15.949,16.4
ch01_00000000150000000.mp4,1534,motorcycle,1,17.699,30.0
ch01_00000000150000000.mp4,1700,motorcycle,1,19.149,22.5
ch01_00000000150000000.mp4,1675,motorcycle,1,19.249,18.9
ch01_00000000150000000.mp4,1899,truck,6,21.749,18.0
ch01_00000000150000000.mp4,2809,motorcycle,1,32.748,18.0
ch01_00000000150000000.mp4,2997,motorcycle,1,33.548,14.4
ch01_00000000150000000.mp4,3274,motorcycle,1,35.998,36.0
ch01_00000000150000000.mp4,3604,motorcycle,1,39.098,32.7
ch01_00000000150000000.mp4,3676,motorcycle,1,39.698,36.0
ch01_00000000150000000.mp4,3700,motorcycle,1,40.448,22.5
ch01_00000000150000000.mp4,3792,motorcycle,1,41.048,32.7
ch01_00000000150000000.mp4,3842,motorcycle,1,41.548,27.7
ch01_00000000150000000.mp4,3793,motorcycle,1,41.698,32.7
ch01_00000000150000000.mp4,3843,motorcycle,1,41.798,30.0
ch01_00000000150000000.mp4,3953,motorcycle,1,42.548,27.7
ch01_00000000150000000.mp4,4146,motorcycle,1,44.497,32.7
ch01_00000000150000000.mp4,4145,motorcycle,1,44.547,30.0
ch01_00000000150000000.mp4,4294,motorcycle,1,45.697,27.7
ch01_00000000150000000.mp4,4372,motorcycle,1,46.397,27.7
ch01_00000000150000000.mp4,4434,motorcycle,1,47.047,22.5
ch01_00000000150000000.mp4,4564,motorcycle,1,48.297,25.7
ch01_00000000150000000.mp4,4611,motorcycle,1,48.897,25.7
ch01_00000000150000000.mp4,4695,motorcycle,1,49.297,32.7
ch01_00000000150000000.mp4,4826,motorcycle,1,50.597,32.7
ch01_00000000150000000.mp4,4798,motorcycle,1,51.147,11.6
ch01_00000000150000000.mp4,4888,motorcycle,1,51.347,30.0
ch01_00000000150000000.mp4,4954,motorcycle,1,52.497,32.7
ch01_00000000150000000.mp4,4940,motorcycle,1,53.997,24.0
ch01_00000000150000000.mp4,5167,motorcycle,1,54.797,30.0
ch01_00000000150000000.mp4,5300,motorcycle,1,55.397,22.5
ch01_00000000150000000.mp4,5285,motorcycle,1,55.547,13.3
ch01_00000000150000000.mp4,5430,motorcycle,1,56.497,27.7
ch01_00000000150000000.mp4,5429,motorcycle,1,56.797,27.7
ch01_00000000150000000.mp4,5517,motorcycle,1,57.747,21.2
ch01_00000000150000000.mp4,5575,motorcycle,1,58.547,22.5
ch01_00000000150000000.mp4,5622,motorcycle,1,59.397,18.0
ch01_00000000150000000.mp4,5635,motorcycle,1,59.747,21.2
ch01_00000000150000000.mp4,5692,motorcycle,1,60.447,32.7
ch01_00000000150000000.mp4,5800,motorcycle,1,61.697,18.9
ch01_00000000150000000.mp4,5793,motorcycle,1,61.746,20.0
ch01_00000000150000000.mp4,5860,motorcycle,1,62.646,18.9
ch01_00000000150000000.mp4,5967,motorcycle,1,63.796,25.7
ch01_00000000150000000.mp4,6009,car,2,64.746,20.0
ch01_00000000150000000.mp4,6051,motorcycle,1,64.746,20.0
ch01_00000000150000000.mp4,6210,motorcycle,1,65.996,22.5
ch01_00000000150000000.mp4,6264,motorcycle,1,66.396,27.7
ch01_00000000150000000.mp4,6302,motorcycle,1,66.846,27.7
ch01_00000000150000000.mp4,6350,motorcycle,1,67.196,30.0
ch01_00000000150000000.mp4,6321,car,2,67.396,22.5
ch01_00000000150000000.mp4,6463,motorcycle,1,68.096,32.7
ch01_00000000150000000.mp4,6523,motorcycle,1,68.596,30.0
ch01_00000000150000000.mp4,6527,truck,4,69.196,18.9
ch01_00000000150000000.mp4,6605,motorcycle,1,69.646,18.9
ch01_00000000150000000.mp4,6666,motorcycle,1,70.396,25.7
ch01_00000000150000000.mp4,6772,car,2,72.046,21.2
ch01_00000000150000000.mp4,7014,motorcycle,1,74.446,17.1
ch01_00000000150000000.mp4,7073,motorcycle,1,75.046,22.5
ch01_00000000150000000.mp4,7341,motorcycle,1,76.946,24.0
ch01_00000000150000000.mp4,7512,motorcycle,1,78.596,32.7
ch01_00000000150000000.mp4,7498,car,2,79.046,25.7
ch01_00000000150000000.mp4,7992,motorcycle,1,82.545,30.0
ch01_00000000150000000.mp4,8048,motorcycle,1,83.145,27.7
ch01_00000000150000000.mp4,8166,motorcycle,1,84.445,18.0
ch01_00000000150000000.mp4,8226,car,2,84.945,22.5
ch01_00000000150000000.mp4,8400,motorcycle,1,86.345,25.7
ch01_00000000150000000.mp4,8611,car,2,88.945,21.2
ch01_00000000150000000.mp4,8844,car,2,91.545,20.0
ch01_00000000150000000.mp4,8956,motorcycle,1,92.495,12.9
ch01_00000000150000000.mp4,9043,car,2,94.145,18.0
ch01_00000000150000000.mp4,8966,motorcycle,1,95.294,8.4
ch01_00000000150000000.mp4,9218,motorcycle,1,95.445,24.0
ch01_00000000150000000.mp4,9228,car,2,95.995,18.0
ch01_00000000150000000.mp4,9400,car,2,97.644,17.1
ch01_00000000150000000.mp4,9469,motorcycle,1,97.994,30.0
ch01_00000000150000000.mp4,9555,car,2,99.494,21.2
ch01_00000000150000000.mp4,9596,car,2,99.594,15.7
ch01_00000000150000000.mp4,9691,motorcycle,1,100.144,18.9
ch01_00000000150000000.mp4,9808,car,2,100.894,17.1
ch01_00000000150000000.mp4,9756,car,2,101.044,30.0
ch01_00000000150000000.mp4,10100,motorcycle,1,103.744,30.0
ch01_00000000150000000.mp4,10099,car,2,104.094,24.0
ch01_00000000150000000.mp4,10467,truck,4,108.744,17.1
ch01_00000000150000000.mp4,10808,car,2,112.944,15.7
ch01_00000000150000000.mp4,11004,motorcycle,1,113.743,25.7
ch01_00000000150000000.mp4,11043,motorcycle,1,114.343,15.7
ch01_00000000150000000.mp4,11120,motorcycle,1,114.993,27.7
ch01_00000000150000000.mp4,11443,motorcycle,1,118.543,21.2
ch01_00000000150000000.mp4,11786,motorcycle,1,122.543,24.0
ch01_00000000150000000.mp4,11823,motorcycle,1,122.793,12.9
ch01_00000000150000000.mp4,11896,motorcycle,1,123.943,21.2
ch01_00000000150000000.mp4,12031,motorcycle,1,125.543,27.7
ch01_00000000150000000.mp4,12400,motorcycle,1,129.693,13.3
ch01_00000000150000000.mp4,12368,car,3,129.893,17.1
ch01_00000000150000000.mp4,12593,car,2,132.542,15.7
ch01_00000000150000000.mp4,12758,motorcycle,1,133.842,22.5
ch01_00000000150000000.mp4,13022,motorcycle,1,137.442,16.4
ch01_00000000150000000.mp4,13126,motorcycle,1,138.042,20.0
