video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000151000000.mp4,14,motorcycle,1,1.4,27.7
ch01_00000000151000000.mp4,17,motorcycle,1,1.95,16.4
ch01_00000000151000000.mp4,36,motorcycle,1,3.7,17.1
ch01_00000000151000000.mp4,43,motorcycle,1,5.05,17.1
ch01_00000000151000000.mp4,51,motorcycle,1,5.5,24.0
ch01_00000000151000000.mp4,58,motorcycle,1,6.55,24.0
ch01_00000000151000000.mp4,49,motorcycle,1,6.599,16.4
ch01_00000000151000000.mp4,68,truck,4,7.849,21.2
ch01_00000000151000000.mp4,85,motorcycle,1,8.849,21.2
ch01_00000000151000000.mp4,100,motorcycle,1,11.149,25.7
ch01_00000000151000000.mp4,101,car,3,12.749,18.0
ch01_00000000151000000.mp4,132,motorcycle,1,21.248,18.0
ch01_00000000151000000.mp4,139,motorcycle,1,21.298,22.5
ch01_00000000151000000.mp4,145,motorcycle,1,21.398,36.0
ch01_00000000151000000.mp4,162,truck,6,27.698,15.7
ch01_00000000151000000.mp4,169,truck,4,29.598,16.4
ch01_00000000151000000.mp4,173,car,2,31.098,15.7
ch01_00000000151000000.mp4,181,motorcycle,1,32.347,15.7
ch01_00000000151000000.mp4,185,motorcycle,1,34.147,27.7
ch01_00000000151000000.mp4,198,car,2,38.697,22.5
ch01_00000000151000000.mp4,208,motorcycle,1,43.096,24.0
ch01_00000000151000000.mp4,220,motorcycle,1,47.596,27.7
ch01_00000000151000000.mp4,223,car,2,49.646,27.7
ch01_00000000151000000.mp4,234,car,2,51.346,27.7
ch01_00000000151000000.mp4,244,truck,6,53.896,30.0
ch01_00000000151000000.mp4,252,motorcycle,1,60.195,27.7
ch01_00000000151000000.mp4,255,motorcycle,1,60.895,17.1
ch01_00000000151000000.mp4,260,motorcycle,1,66.745,8.6
ch01_00000000151000000.mp4,277,motorcycle,1,69.044,21.2
ch01_00000000151000000.mp4,283,motorcycle,1,74.294,14.4
ch01_00000000151000000.mp4,287,motorcycle,1,77.244,15.7
ch01_00000000151000000.mp4,291,car,2,82.193,7.2
ch01_00000000151000000.mp4,296,motorcycle,1,86.243,13.3
ch01_00000000151000000.mp4,338,motorcycle,1,99.942,32.7
ch01_00000000151000000.mp4,359,motorcycle,1,105.092,32.7
ch01_00000000151000000.mp4,361,motorcycle,1,106.041,32.7
ch01_00000000151000000.mp4,367,motorcycle,1,106.891,25.7
ch01_00000000151000000.mp4,369,motorcycle,1,107.441,22.5
ch01_00000000151000000.mp4,374,motorcycle,1,107.541,30.0
ch01_00000000151000000.mp4,377,truck,6,109.091,32.7
ch01_00000000151000000.mp4,389,motorcycle,1,109.741,30.0
ch01_00000000151000000.mp4,382,motorcycle,1,110.691,12.0
ch01_00000000151000000.mp4,405,motorcycle,1,114.541,24.0
ch01_00000000151000000.mp4,409,motorcycle,1,115.841,24.0
ch01_00000000151000000.mp4,410,motorcycle,1,116.341,27.7
ch01_00000000151000000.mp4,415,car,2,117.641,22.5
ch01_00000000151000000.mp4,418,motorcycle,1,118.191,27.7
ch01_00000000151000000.mp4,423,motorcycle,1,118.94,21.2
ch01_00000000151000000.mp4,436,motorcycle,1,120.94,13.8
ch01_00000000151000000.mp4,439,motorcycle,1,121.69,15.0
ch01_00000000151000000.mp4,448,car,2,123.84,22.5
ch01_00000000151000000.mp4,454,motorcycle,1,125.14,18.9
ch01_00000000151000000.mp4,462,motorcycle,1,126.24,18.9
ch01_00000000151000000.mp4,463,car,2,126.24,24.0
ch01_00000000151000000.mp4,465,motorcycle,1,126.74,10.3
ch01_00000000151000000.mp4,467,motorcycle,1,127.09,18.9
ch01_00000000151000000.mp4,481,car,2,129.64,18.9
ch01_00000000151000000.mp4,486,motorcycle,1,130.139,36.0
ch01_00000000151000000.mp4,506,car,2,133.689,17.1
ch01_00000000151000000.mp4,530,car,2,137.439,24.0
ch01_00000000151000000.mp4,531,car,2,137.989,25.7
ch01_00000000151000000.mp4,541,car,2,139.939,25.7
ch01_00000000151000000.mp4,552,motorcycle,1,140.739,27.7
ch01_00000000151000000.mp4,558,motorcycle,1,141.489,27.7
ch01_00000000151000000.mp4,556,car,3,141.789,25.7
ch01_00000000151000000.mp4,559,motorcycle,1,142.638,25.7
ch01_00000000151000000.mp4,565,motorcycle,1,144.438,10.3
ch01_00000000151000000.mp4,566,motorcycle,1,147.438,22.5
ch01_00000000151000000.mp4,581,motorcycle,1,153.038,20.0
ch01_00000000151000000.mp4,582,motorcycle,1,154.538,24.0
ch01_00000000151000000.mp4,586,motorcycle,1,155.988,32.7
ch01_00000000151000000.mp4,592,motorcycle,1,159.237,30.0
ch01_00000000151000000.mp4,602,car,2,161.637,18.9
ch01_00000000151000000.mp4,606,motorcycle,1,162.037,27.7
ch01_00000000151000000.mp4,609,car,2,162.887,18.9
ch01_00000000151000000.mp4,614,car,2,165.887,20.0
ch01_00000000151000000.mp4,622,motorcycle,1,168.087,4.8
ch01_00000000151000000.mp4,624,motorcycle,1,170.486,40.0
ch01_00000000151000000.mp4,633,motorcycle,1,172.386,11.6
ch01_00000000151000000.mp4,642,motorcycle,1,174.986,21.2
ch01_00000000151000000.mp4,651,motorcycle,1,176.236,24.0
ch01_00000000151000000.mp4,641,car,2,177.586,9.2
ch01_00000000151000000.mp4,678,motorcycle,1,184.185,25.7
ch01_00000000151000000.mp4,40,motorcycle,1,195.384,20.0
ch01_00000000151000000.mp4,84,motorcycle,1,198.034,25.7
ch01_00000000151000000.mp4,117,motorcycle,1,201.234,30.0
ch01_00000000151000000.mp4,232,car,2,253.83,18.9
ch01_00000000151000000.mp4,305,motorcycle,1,254.63,27.7
ch01_00000000151000000.mp4,276,car,2,255.28,18.0
ch01_00000000151000000.mp4,354,truck,6,257.179,18.9
ch01_00000000151000000.mp4,245,motorcycle,1,261.479,1.6
ch01_00000000151000000.mp4,2,motorcycle,1,264.979,32.7
ch01_00000000151000000.mp4,60,motorcycle,1,265.929,30.0
ch01_00000000151000000.mp4,112,motorcycle,1,266.929,30.0
ch01_00000000151000000.mp4,272,motorcycle,1,273.678,22.5
ch01_00000000151000000.mp4,513,motorcycle,1,276.878,27.7
ch01_00000000151000000.mp4,604,car,2,278.628,24.0
ch01_00000000151000000.mp4,854,motorcycle,1,282.127,24.0
ch01_00000000151000000.mp4,984,motorcycle,1,283.877,24.0
ch01_00000000151000000.mp4,1378,car,3,290.227,27.7
ch01_00000000151000000.mp4,1564,motorcycle,1,292.577,25.7
ch01_00000000151000000.mp4,2162,motorcycle,1,302.076,36.0
ch01_00000000151000000.mp4,2219,car,2,303.126,24.0
ch01_00000000151000000.mp4,2530,motorcycle,1,307.275,21.2
ch01_00000000151000000.mp4,2537,motorcycle,1,307.375,24.0
ch01_00000000151000000.mp4,2573,motorcycle,1,307.675,20.0
ch01_00000000151000000.mp4,2688,motorcycle,1,309.675,30.0
ch01_00000000151000000.mp4,2713,motorcycle,1,310.275,32.7
ch01_00000000151000000.mp4,2866,motorcycle,1,313.675,9.2
ch01_00000000151000000.mp4,3080,motorcycle,1,316.475,25.7
ch01_00000000151000000.mp4,3147,motorcycle,1,317.675,27.7
ch01_00000000151000000.mp4,3247,motorcycle,1,318.974,24.0
ch01_00000000151000000.mp4,3293,motorcycle,1,319.824,27.7
ch01_00000000151000000.mp4,3460,motorcycle,1,322.824,30.0
ch01_00000000151000000.mp4,3580,car,2,324.974,22.5
ch01_00000000151000000.mp4,3729,car,2,327.224,22.5
ch01_00000000151000000.mp4,3756,motorcycle,1,328.524,10.6
ch01_00000000151000000.mp4,3905,motorcycle,1,329.623,22.5
ch01_00000000151000000.mp4,4380,truck,4,336.673,24.0
ch01_00000000151000000.mp4,4455,car,2,338.123,25.7
ch01_00000000151000000.mp4,4597,motorcycle,1,339.723,25.7
ch01_00000000151000000.mp4,4558,truck,4,340.123,25.7
ch01_00000000151000000.mp4,4943,car,2,345.472,22.5
ch01_00000000151000000.mp4,5074,motorcycle,1,347.322,14.4
ch01_00000000151000000.mp4,5158,motorcycle,1,348.322,22.5
ch01_00000000151000000.mp4,5291,bus,5,350.672,18.9
ch01_00000000151000000.mp4,5597,motorcycle,1,354.421,13.8
ch01_00000000151000000.mp4,5707,car,2,356.971,18.0
ch01_00000000151000000.mp4,5796,motorcycle,1,357.421,25.7
ch01_00000000151000000.mp4,6247,motorcycle,1,367.07,15.7
ch01_00000000151000000.mp4,7146,motorcycle,1,381.719,25.7
ch01_00000000151000000.mp4,7195,motorcycle,1,382.469,25.7
ch01_00000000151000000.mp4,8992,motorcycle,1,415.817,20.0
ch01_00000000151000000.mp4,9428,motorcycle,1,422.316,30.0
ch01_00000000151000000.mp4,9508,motorcycle,1,423.516,27.7
ch01_00000000151000000.mp4,9507,motorcycle,1,423.516,6.8
ch01_00000000151000000.mp4,9602,motorcycle,1,425.416,25.7
ch01_00000000151000000.mp4,9682,motorcycle,1,426.166,32.7
ch01_00000000151000000.mp4,9722,motorcycle,1,426.466,30.0
ch01_00000000151000000.mp4,9771,motorcycle,1,427.416,24.0
ch01_00000000151000000.mp4,9791,motorcycle,1,427.816,30.0
ch01_00000000151000000.mp4,9562,car,2,428.316,8.2
ch01_00000000151000000.mp4,9929,motorcycle,1,430.565,27.7
ch01_00000000151000000.mp4,10102,motorcycle,1,432.915,25.7
ch01_00000000151000000.mp4,10140,motorcycle,1,433.515,22.5
ch01_00000000151000000.mp4,10198,motorcycle,1,434.515,10.0
ch01_00000000151000000.mp4,10526,motorcycle,1,439.365,9.7
ch01_00000000151000000.mp4,10546,motorcycle,1,439.815,25.7
ch01_00000000151000000.mp4,10691,motorcycle,1,442.014,20.0
ch01_00000000151000000.mp4,10726,motorcycle,1,443.014,18.9
ch01_00000000151000000.mp4,10812,motorcycle,1,444.914,21.2
ch01_00000000151000000.mp4,10816,motorcycle,1,444.914,24.0
ch01_00000000151000000.mp4,10840,motorcycle,1,445.364,22.5
ch01_00000000151000000.mp4,10939,car,2,446.814,18.9
ch01_00000000151000000.mp4,11050,car,2,448.714,25.7
ch01_00000000151000000.mp4,11088,car,2,449.264,17.1
ch01_00000000151000000.mp4,11235,car,2,452.014,20.0
ch01_00000000151000000.mp4,11247,car,2,452.614,10.3
ch01_00000000151000000.mp4,11278,motorcycle,1,452.664,24.0
ch01_00000000151000000.mp4,11440,motorcycle,1,455.113,25.7
ch01_00000000151000000.mp4,11438,car,2,455.263,18.9
