video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000152000000.mp4,118,motorcycle,1,15.048,27.7
ch01_00000000152000000.mp4,34,motorcycle,1,21.497,18.0
ch01_00000000152000000.mp4,51,truck,4,22.747,30.0
ch01_00000000152000000.mp4,73,truck,4,24.147,25.7
ch01_00000000152000000.mp4,94,motorcycle,1,25.447,25.7
ch01_00000000152000000.mp4,100,motorcycle,1,26.197,21.2
ch01_00000000152000000.mp4,103,motorcycle,1,26.447,27.7
ch01_00000000152000000.mp4,129,motorcycle,1,27.997,24.0
ch01_00000000152000000.mp4,203,motorcycle,1,32.396,18.0
ch01_00000000152000000.mp4,251,motorcycle,1,32.696,16.4
ch01_00000000152000000.mp4,263,motorcycle,1,33.346,22.5
ch01_00000000152000000.mp4,274,motorcycle,1,33.646,25.7
ch01_00000000152000000.mp4,276,motorcycle,1,34.396,20.0
ch01_00000000152000000.mp4,290,motorcycle,1,35.046,21.2
ch01_00000000152000000.mp4,18,motorcycle,1,37.145,21.2
ch01_00000000152000000.mp4,20,motorcycle,1,37.795,18.0
ch01_00000000152000000.mp4,42,truck,6,38.345,22.5
ch01_00000000152000000.mp4,57,car,2,39.295,16.4
ch01_00000000152000000.mp4,70,motorcycle,1,39.695,18.9
ch01_00000000152000000.mp4,78,motorcycle,1,40.195,24.0
ch01_00000000152000000.mp4,80,motorcycle,1,40.645,17.1
ch01_00000000152000000.mp4,173,motorcycle,1,43.445,21.2
ch01_00000000152000000.mp4,189,motorcycle,1,43.795,32.7
ch01_00000000152000000.mp4,245,motorcycle,1,46.494,7.7
ch01_00000000152000000.mp4,248,motorcycle,1,46.694,21.2
ch01_00000000152000000.mp4,79,motorcycle,1,52.993,14.4
ch01_00000000152000000.mp4,86,truck,4,53.593,25.7
ch01_00000000152000000.mp4,120,car,2,54.843,30.0
ch01_00000000152000000.mp4,146,motorcycle,1,55.693,18.9
ch01_00000000152000000.mp4,124,motorcycle,1,61.692,25.7
ch01_00000000152000000.mp4,155,truck,4,63.042,17.1
ch01_00000000152000000.mp4,257,car,2,66.242,17.1
ch01_00000000152000000.mp4,371,truck,4,68.442,18.0
ch01_00000000152000000.mp4,157,motorcycle,1,70.691,30.0
ch01_00000000152000000.mp4,243,motorcycle,1,73.441,16.4
ch01_00000000152000000.mp4,327,motorcycle,1,74.841,20.0
ch01_00000000152000000.mp4,365,motorcycle,1,75.691,20.0
ch01_00000000152000000.mp4,67,truck,6,83.34,9.7
ch01_00000000152000000.mp4,924,motorcycle,1,96.038,25.7
ch01_00000000152000000.mp4,1883,motorcycle,1,111.736,25.7
ch01_00000000152000000.mp4,2275,car,3,117.985,12.9
ch01_00000000152000000.mp4,2486,motorcycle,1,120.585,27.7
ch01_00000000152000000.mp4,2517,car,2,121.035,36.0
ch01_00000000152000000.mp4,2858,motorcycle,1,126.634,30.0
ch01_00000000152000000.mp4,3100,motorcycle,1,130.934,30.0
ch01_00000000152000000.mp4,3979,car,3,146.432,21.2
ch01_00000000152000000.mp4,4448,car,2,153.931,36.0
ch01_00000000152000000.mp4,5010,truck,6,162.83,21.2
ch01_00000000152000000.mp4,5181,motorcycle,1,165.03,7.1
ch01_00000000152000000.mp4,5352,car,2,167.429,20.0
ch01_00000000152000000.mp4,5485,motorcycle,1,168.779,36.0
ch01_00000000152000000.mp4,5547,car,2,170.629,22.5
ch01_00000000152000000.mp4,5663,car,2,172.379,22.5
ch01_00000000152000000.mp4,5752,motorcycle,1,172.629,30.0
ch01_00000000152000000.mp4,5782,motorcycle,1,173.129,30.0
ch01_00000000152000000.mp4,6009,motorcycle,1,177.428,25.7
ch01_00000000152000000.mp4,6061,motorcycle,1,178.428,24.0
ch01_00000000152000000.mp4,6103,motorcycle,1,178.978,27.7
ch01_00000000152000000.mp4,6112,car,2,179.278,25.7
ch01_00000000152000000.mp4,6092,car,2,180.478,15.7
ch01_00000000152000000.mp4,6193,motorcycle,1,181.128,25.7
ch01_00000000152000000.mp4,6256,motorcycle,1,182.477,27.7
ch01_00000000152000000.mp4,6398,motorcycle,1,185.227,18.9
ch01_00000000152000000.mp4,6450,motorcycle,1,186.077,24.0
ch01_00000000152000000.mp4,6497,motorcycle,1,186.777,18.9
ch01_00000000152000000.mp4,6515,motorcycle,1,187.027,22.5
ch01_00000000152000000.mp4,6698,car,2,189.876,24.0
ch01_00000000152000000.mp4,6717,car,2,189.876,24.0
ch01_00000000152000000.mp4,6865,truck,4,192.576,22.5
ch01_00000000152000000.mp4,6946,motorcycle,1,193.476,22.5
ch01_00000000152000000.mp4,7030,car,2,194.776,21.2
ch01_00000000152000000.mp4,7136,car,2,196.326,22.5
ch01_00000000152000000.mp4,7350,car,2,199.875,25.7
ch01_00000000152000000.mp4,7484,car,2,202.825,18.9
ch01_00000000152000000.mp4,8072,motorcycle,1,213.124,24.0
ch01_00000000152000000.mp4,8170,motorcycle,1,214.524,22.5
ch01_00000000152000000.mp4,8229,motorcycle,1,215.323,25.7
ch01_00000000152000000.mp4,8364,motorcycle,1,217.723,25.7
ch01_00000000152000000.mp4,8864,car,2,227.872,25.7
